id,element,useCase,type,component
1,User:Students course menu,input course preference,boundary,course constraints
2,User:Homepage,input course preference,boundary,Displaypage
3,User:Select prefer course,input course preference,control,course section
4,User:send students detail,input course preference,control,student data
5,Confirmation page:Database,input course preference,entity,counselor data
6,Confirmation page:Homepage,input course preference,boundary,Displaypage
7,Select prefer course:Confirmation page,input course preference,control,course section
8,Display page:Confirmation page,input course preference,control,course section
9,Request students detail:Display page,input course preference,boundary,Displaypage
10,send students detail:Display page,input course preference,boundary,Displaypage
11,Students course menu:Request students detail,input course preference,control,student data
12,stl#User:Students course menu,input course preference,Stimulus,undefined
13,stl#User:Homepage,input course preference,Stimulus,undefined
14,stl#User:Select prefer course,input course preference,Stimulus,undefined
15,stl#User:send students detail,input course preference,Stimulus,undefined
