Proj.No.,Effort,Norm Effort,KSLOC,NT,SWTI,SWTII,SWTIII,UUCW,UAW,UUCP,TCF,EF,Application Type,UC No.
1,724,784.82,2.95,34,340,238,238,70,9,79,0.9,1.025,Mobile App,10
2,482,580.14,6.569,61,610,515,523,110,9,119,0.835,0.995,Mobile App,10
3,257,267.67,1.5,17,170,118,116,40,6,46,0.925,1.04,Mobile App,5
4,263,285.75,7.25,36,360,198,190,75,11,86,0.925,0.995,Web App,10
5,571,623.90,8.116,51,510,334,330,105,9,114,0.88,1.04,Web App,13
6,268,286.28,2.258,32,320,272,272,70,6,76,0.915,1.025,Data Analysis,8
7,266,303.52,0.73,53,530,556,556,95,9,104,0.855,1.025,Mobile App,8
8,140,160.31,3.2,30,300,198,206,65,12,77,0.855,1.025,Web App,8
9,1281,1751.43,7.593,21,210,144,144,50,6,56,0.795,0.92,Web App,7
10,1482,1687.05,1.386,89,890,613,616,180,6,186,0.925,0.95,Mobile App,18
11,617,747.76,5.129,75,750,509,513,170,9,179,0.805,1.025,Web App,24
12,1347,1710.15,3.679,24,240,216,220,60,9,69,0.885,0.89,Web App,8
13,302,338.88,0.552,79,790,694,700,150,9,159,0.925,0.965,Mobile App,11
14,1965,2247.70,6.415,80,800,846,938,110,9,119,0.935,0.935,Web App,9
15,1392,981.14,4.71,18,180,526,570,65,12,77,1.135,1.25,Mobile Web,12
16,804,881.88,7.365,48,480,250,244,95,9,104,0.89,1.025,Web App,16
17,1592,1652.30,8.209,53,530,324,326,130,6,136,0.94,1.025,Mobile Web,24
18,2113,2525.69,8.059,70,700,1208,1301,165,8,173,0.94,0.89,Mobile Web,24
19,737,478.80,3.12,18,180,320,298,140,3,143,1.175,1.25,Mobile Game,28
20,384,260.71,4.965,31,310,290,214,135,3,138,1.18,1.25,Desktop App,9
21,3224,2186.25,2.93,88,880,1166,916,225,9,234,1.135,1.25,Information Sys,15
22,541,764.61,2.31,0,390,585,468,150,12,162,0.795,0.89,Data Analysis,10
23,1328,1130.21,2.32,59,590,822,654,105,9,114,0.94,1.25,Mobile App,7
24,1328,1613.11,1.78,59,590,822,654,105,6,111,0.925,0.89,Mobile App,7
25,1092,875.70,4.095,144,1440,1609,1232,315,12,327,1.2,1.04,Desktop App,21
26,1810,2198.99,3.1,120,1200,1494,1182,90,9,99,0.925,0.89,Web App,6
27,1193,1181.89,5.4,81,810,1215,972,165,3,168,1.03,0.98,Web App,11
28,1393,1454.37,7.776,96,960,1415,1132,180,3,183,0.935,1.025,Information Sys,12
