id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Class1,0,0,0,0,0,0
2,ExistingJobsController,0,0,96,0,0,0
3,Notifications,2,2,4,0,2,0
4,RSSFeedParser,0,0,0,0,0,0
5,RSSFeedRetriever,0,0,0,0,0,0
6,SearchJobsServerPage,0,0,0,0,0,0
7,SubscriptionsController,0,0,0,0,0,0
8,UserProfileController,0,0,0,0,0,0
9,UserProfileServerPage,0,0,0,0,0,0
10,ViewJobDescServerPage,0,0,96,0,0,0
11,ViewOpenJobsServerPage,0,0,0,0,0,0
12,emailNotification,0,0,0,0,0,1
13,mobileNotification,0,0,0,0,0,1
14,$help://actor.htm,0,0,0,0,0,0
15,$help://use_case_model_pattern.htm,0,0,0,0,0,0
16,$help://usecasediagram.htm,0,0,0,0,0,0
17,System Boundary,0,0,0,0,0,0
18,XML,0,0,0,0,0,0
19,Invaliddetailinputmessage,0,0,0,0,0,0
20,Localstorage,0,0,0,0,0,0
21,redirecttowebsite,0,0,0,0,0,0
22,Applynoewlink,0,0,0,0,0,0
