id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Display bills,control,1,1,View Bill,View Bill,
2,Bills,entity,1,1,View Bill,View Bill,
3,Redeem coupon,control,0,1,View Bill,View Bill,
4,Partneer subscriptions,entity,0,1,View Bill,View Bill,
5,Unbilled Transactions,entity,2,1,View Bill,View Bill,
6,Submit disputation request,control,1,1,View Bill,View Bill,
7,Validate disputation request,control,1,2,View Bill,View Bill,
8,Disputation request page,boundary,2,1,View Bill,View Bill,
9,Display unbilled transactions,control,1,1,View Bill,View Bill,
10,Disputation request success page,boundary,0,1,View Bill,View Bill,
11,Post bills,control,2,1,View Bill,View Bill,
12,Dispute bill,control,2,1,View Bill,View Bill,
13,Bill Detail Page,boundary,2,1,View Bill,View Bill,
14,Make payment,control,0,1,View Bill,View Bill,
15,View Bill Details,control,1,1,View Bill,View Bill,
16,Bills view page,boundary,2,2,View Bill,View Bill,
17,Business Partner,actor,1,0,View Bill,View Bill,
