id,element,useCase,type,component
1,User:add site page,Add Site,boundary,HomePageAdmin
2,User:site list,Add Site,boundary,siteslink
3,User:existing site error message,Add Site,entity,MessageController
4,User:"sites" link,Add Site,boundary,siteslink
5,User:success message,Add Site,control,MessageManage Page
6,"sites" link:redirect to a page with the curernt sites list,Add Site,boundary,siteslink
7,add site information db:success message,Add Site,control,MessageManage Page
8,add site information db:site information,Add Site,control,checkconflictsituation
9,check existing situation for the new site:add site information db,Add Site,control,checkconflictsituation
10,add site page:check existing situation for the new site,Add Site,control,checkconflictsituation
11,display the add site info page:add site page,Add Site,boundary,HomePageAdmin
12,check existing situation for the new site:existing site error message,Add Site,entity,MessageController
13,display the add site info page:site information,Add Site,control,checkconflictsituation
14,site list:display the add site info page,Add Site,boundary,HomePageAdmin
15,redirect to a page with the curernt sites list:site information,Add Site,control,checkconflictsituation
16,redirect to a page with the curernt sites list:site list,Add Site,boundary,siteslink
17,stl#User:add site page,Add Site,Stimulus,undefined
18,stl#User:site list,Add Site,Stimulus,undefined
19,stl#User:existing site error message,Add Site,Stimulus,undefined
20,stl#User:"sites" link,Add Site,Stimulus,undefined
21,stl#User:success message,Add Site,Stimulus,undefined
