id,element,useCase,type,component
1,User:Administrator dashboard,Login,entity,System Boundary
2,User:Login page,Login,boundary,Meeting Log
3,User:Login Error Page,Login,boundary,Meeting Log
4,User:Select project page,Login,entity,Project
5,User:general user dashboard,Login,control,UserInfo
6,retrieve project information:Administrator dashboard,Login,entity,System Boundary
7,verify login information:Login Error Page,Login,boundary,Meeting Log
8,Login page:verify login information,Login,control,UserInfo
9,Select project page:retrieve project information,Login,entity,Project
10,verify login information:Select project page,Login,entity,Project
11,verify login information:general user dashboard,Login,control,UserInfo
12,retrieve project information:project info,Login,entity,Project
13,verify login information:user info,Login,control,UserInfo
14,stl#User:Administrator dashboard,Login,Stimulus,undefined
15,stl#User:Login page,Login,Stimulus,undefined
16,stl#User:Login Error Page,Login,Stimulus,undefined
17,stl#User:Select project page,Login,Stimulus,undefined
18,stl#User:general user dashboard,Login,Stimulus,undefined
