id,element,useCase,type,outboundDegree,inboundDegree
1,Partner Login_ActivityGraph,Partner Login,0,undefined,undefined
2,If a match is found a Reset Password Confirmation 	email is sent to the email address.,Partner Login,0,undefined,undefined
3,The system database returns a match with the username and password combination.,Partner Login,0,undefined,undefined
4,The system displays and error message and returns the user to the Partner Login page.,Partner Login,0,undefined,undefined
5,The system displays the Partner Login page.,Partner Login,0,undefined,undefined
6,The system prompts the user for their account email address.,Partner Login,0,undefined,undefined
7,The system provides access to the Partner Portal.,Partner Login,0,undefined,undefined
8,The system queries the database for the account email address.,Partner Login,0,undefined,undefined
9,The system validates the username and password combination by querying the system database.,Partner Login,0,undefined,undefined
10,The user enters a username and password into the username and password text fields respectively and presses the Sign In button.,Partner Login,0,undefined,undefined
11,The user enters their account email address and clicks the Reset Password button.,Partner Login,0,undefined,undefined
12,User:Partner Portal,Partner Login,0,undefined,undefined
13,User:Partner Login,Partner Login,0,undefined,undefined
14,Display Partner Login:Partner Login,Partner Login,0,undefined,undefined
15,Is a match found?:Display error message,Partner Login,0,undefined,undefined
16,Enter username and password:Query database with username and password,Partner Login,0,undefined,undefined
17,Partner Login:Enter username and password,Partner Login,0,undefined,undefined
18,Is a match found?:Partner Portal,Partner Login,0,undefined,undefined
19,System Database:Is a match found?,Partner Login,0,undefined,undefined
20,Query database with username and password:System Database,Partner Login,0,undefined,undefined
21,stl#User:Partner Portal,Partner Login,0,undefined,undefined
22,stl#User:Partner Login,Partner Login,0,undefined,undefined
