id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,redirect to invitation page,control,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
2,login fail message,boundary,0,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
3,Invitation page,boundary,0,3,Invite friends from LinkedIn,Invite friends from LinkedIn,
4,return the status of email being sent,control,2,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
5,Email protocol,actor,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
6,send email to friend,control,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
7,Check if friends exist in system,control,2,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
8,popup input email and password page,control,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
9,LinkedIn,actor,2,2,Invite friends from LinkedIn,Invite friends from LinkedIn,
10,email sending failed message,boundary,0,2,Invite friends from LinkedIn,Invite friends from LinkedIn,
11,Validate login info by LinkedIn,control,2,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
12,Linkedin login page,boundary,2,2,Invite friends from LinkedIn,Invite friends from LinkedIn,
13,A list of friends,control,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
14,Friend list for invitation,boundary,1,2,Invite friends from LinkedIn,Invite friends from LinkedIn,
15,Fiends,entity,0,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
16,get friend list,control,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
17,invite button,boundary,1,1,Invite friends from LinkedIn,Invite friends from LinkedIn,
18,User,actor,5,0,Invite friends from LinkedIn,Invite friends from LinkedIn,
