id,path,functional,transactional,path_length,diagram,useCase
1,User->Linkedin login page->Validate login info by LinkedIn->LinkedIn,FUNC_NA,CTRL|EXTIVK,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
2,User->Linkedin login page->Validate login info by LinkedIn->login fail message,EQ,CTRL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
3,User->Linkedin login page->redirect to invitation page->Invitation page,EQ,CTRL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
4,User->invite button->get friend list->LinkedIn,FUNC_NA,CTRL|EXTIVK,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
5,User->Friend list for invitation->send email to friend->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
6,LinkedIn->popup input email and password page->Linkedin login page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
7,LinkedIn->A list of friends->Check if friends exist in system->Fiends,FUNC_NA,CTRL|EXTCLL|DM|EI,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
8,LinkedIn->A list of friends->Check if friends exist in system->Friend list for invitation,FUNC_NA,CTRL|EXTCLL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
9,Email protocol->return the status of email being sent->Invitation page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
10,Email protocol->return the status of email being sent->email sending failed message,FUNC_NA,CTRL|EXTCLL|INT,undefined,Invite friends from LinkedIn,Invite friends from LinkedIn
