id,element,useCase,type,outboundDegree,inboundDegree
1,User:Confirm Box,Delete Event,0,undefined,undefined
2,User:Delete Event Button,Delete Event,0,undefined,undefined
3,Close warning and delete event:Event,Delete Event,0,undefined,undefined
4,Close warning and delete event:Delete Picture,Delete Event,0,undefined,undefined
5,Confirm Box:Close warning and delete event,Delete Event,0,undefined,undefined
6,Show warning of deletion:Confirm Box,Delete Event,0,undefined,undefined
7,Delete Event Button:Show warning of deletion,Delete Event,0,undefined,undefined
8,Show warning of deletion:Delete Event Button,Delete Event,0,undefined,undefined
9,Delete Picture:Picture,Delete Event,0,undefined,undefined
10,stl#User:Confirm Box,Delete Event,0,undefined,undefined
11,stl#User:Delete Event Button,Delete Event,0,undefined,undefined
