id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#administrator:path list->administrator:path list->path list:check if association between path and survey in db->check if association between path and survey in db:path and location information,associate a survey with a path,4,1,2,0,0
2,stl#administrator:path list->administrator:path list->path list:check if association between path and survey in db->check if association between path and survey in db:insert an association into db->insert an association into db:path and location information,associate a survey with a path,5,1,3,0,0
3,stl#administrator:path list->administrator:path list->path list:check if association between path and survey in db->check if association between path and survey in db:insert an association into db->insert an association into db:success message,associate a survey with a path,5,1,3,0,0
4,stl#administrator:success message->administrator:success message,associate a survey with a path,2,0,1,0,0
5,stl#administrator:school list amd survey list page->administrator:school list amd survey list page->school list amd survey list page:load path list from the database->load path list from the database:path db,associate a survey with a path,4,2,0,1,0
6,stl#administrator:school list amd survey list page->administrator:school list amd survey list page->school list amd survey list page:load path list from the database->load path list from the database:path list->path list:check if association between path and survey in db->check if association between path and survey in db:path and location information,associate a survey with a path,6,2,2,1,0
7,stl#administrator:school list amd survey list page->administrator:school list amd survey list page->school list amd survey list page:load path list from the database->load path list from the database:path list->path list:check if association between path and survey in db->check if association between path and survey in db:insert an association into db->insert an association into db:path and location information,associate a survey with a path,7,2,3,1,0
8,stl#administrator:school list amd survey list page->administrator:school list amd survey list page->school list amd survey list page:load path list from the database->load path list from the database:path list->path list:check if association between path and survey in db->check if association between path and survey in db:insert an association into db->insert an association into db:success message,associate a survey with a path,7,2,3,1,0
