id,element,useCase,type,component
1,User:Hashtag icon,Browse Event Pictures,boundary,Hashtagicon
2,User:Search Result,Browse Event Pictures,control,SearchResult
3,User:Hashtag input box,Browse Event Pictures,boundary,Hashtagicon
4,User:Picture Display,Browse Event Pictures,control,showsthepicturesclicked
5,Hashtag icon:Show hashtag text input,Browse Event Pictures,boundary,Hashtagicon
6,Hashtag input box:Search,Browse Event Pictures,control,SearchResult
7,Show hashtag text input:Hashtag input box,Browse Event Pictures,boundary,Hashtagicon
8,shows the  pictures clicked:Picture Display,Browse Event Pictures,control,showsthepicturesclicked
9,Search:picture,Browse Event Pictures,control,showsthepicturesclicked
10,Search Result:shows the  pictures clicked,Browse Event Pictures,control,showsthepicturesclicked
11,shows the search result:Search Result,Browse Event Pictures,control,SearchResult
12,picture:shows the search result,Browse Event Pictures,control,SearchResult
13,stl#User:Hashtag icon,Browse Event Pictures,Stimulus,undefined
14,stl#User:Search Result,Browse Event Pictures,Stimulus,undefined
15,stl#User:Hashtag input box,Browse Event Pictures,Stimulus,undefined
16,stl#User:Picture Display,Browse Event Pictures,Stimulus,undefined
