                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2014.08f on 2 16 2017                              
               UCC -i1 Projects/561hw1//filelist.txt -outdir results/Projects/561hw1/               

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
Java,1,25,21

Total,1,25,21
