                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 2 16 2017                              
               UCC -i1 Projects/561hw1//filelist.txt -outdir results/Projects/561hw1/               

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
4,4,4,2,Low,Projects/561hw1/Agent.java

4,4,4,2

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,public static void main,Projects/561hw1/Agent.java
3,3,3,Low,public static char[][]testPlay,Projects/561hw1/Agent.java

4,Total(CC1)
      2.00,Average(CC1)
