id,element,useCase,type,component
1,User:Logout page,logout,control,Resource Input page
2,User:Homepage,logout,control,Send Messagepage
3,Display confirmation page:Homepage,logout,control,Send Messagepage
4,Validate username and password:Display confirmation page,logout,control,Notification message
5,Log out and  terminate the session:Validate username and password,logout,control,ClassAttendance Report
6,Logout page:Log out and  terminate the session,logout,entity,Cass Attendance Info
7,stl#User:Logout page,logout,Stimulus,undefined
8,stl#User:Homepage,logout,Stimulus,undefined
