id,element,useCase,type,component
1,User:"sites" link,Delete Site,boundary,siteslink
2,User:site list,Delete Site,boundary,siteslink
3,User:existing site error message,Delete Site,entity,MessageController
4,User:success messsage,Delete Site,control,MessageManage Page
5,User:success message,Delete Site,control,MessageManage Page
6,"sites" link:redirect to a page with the curernt sites list,Delete Site,boundary,siteslink
7,add site information db:site information,Delete Site,control,checkconflictsituation
8,add site information db:success message,Delete Site,control,MessageManage Page
9,check existing situation for the new site:add site information db,Delete Site,control,checkconflictsituation
10,check existing situation for the new site:existing site error message,Delete Site,entity,MessageController
11,success messsage:check existing situation for the new site,Delete Site,control,checkconflictsituation
12,delete site from db:site information,Delete Site,control,checkconflictsituation
13,delete site from db:success messsage,Delete Site,control,MessageManage Page
14,site list:delete site from db,Delete Site,boundary,siteslink
15,redirect to a page with the curernt sites list:site information,Delete Site,control,checkconflictsituation
16,redirect to a page with the curernt sites list:site list,Delete Site,boundary,siteslink
17,stl#User:"sites" link,Delete Site,Stimulus,undefined
18,stl#User:site list,Delete Site,Stimulus,undefined
19,stl#User:existing site error message,Delete Site,Stimulus,undefined
20,stl#User:success messsage,Delete Site,Stimulus,undefined
21,stl#User:success message,Delete Site,Stimulus,undefined
