id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Home page,boundary,0,2,Register course,Register course,
2,Redirect to home page,control,1,1,Register course,Register course,
3,Email protocol,actor,0,1,Register course,Register course,
4,Send out confirmation email,control,2,1,Register course,Register course,
5,receive payment result,control,1,1,Register course,Register course,
6,EventBrite,actor,2,2,Register course,Register course,
7,registration success,boundary,0,2,Register course,Register course,
8,bring up payment page,control,1,1,Register course,Register course,
9,make payment,boundary,1,1,Register course,Register course,
10,setupPayment,control,2,1,Register course,Register course,
11,Payment page,boundary,1,2,Register course,Register course,
12,Course detail page,boundary,2,1,Register course,Register course,
13,Attendee,actor,4,0,Register course,Register course,
