"","swtiii_l1","SWTIII","swtii_l1","SWTII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","STEP","NN","LASSO","RTREE","Effort","Trans","Stm","Comp","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"2048_S1W1L1_2019-4-28@1559050698438",7,7.15,7,7.06,7,6.95,25,110,12,864.06,6.76,2677.56,3724,6888.94,2576.22,2560,7,7,7,3.57,2.07,5.59,0.72,2,0.58
"AFHDownloader_S1W1L1_2019-6-12@1562926542058",5,5.11,5,5.04,5,4.97,15,71,6,462.43,6.14,857.14,3724,6888.94,2576.22,1120,5,5,11,2.4,0.89,1.15,0.49,3.8,1.3
"AnExplorer_S1W1L1_2019-4-29@1559144669093",20,20.43,20,20.16,20,19.87,50,77,253,1691.46,7.43,7487.07,10251,6888.94,2576.22,3167,20,20,7,37.2,67.94,163.57,37.24,26.3,45.14
"AnotherMonitor_S1W1L1_2019-4-28@1559050904766",40,40.87,40,40.33,40,39.74,50,115,318,921.89,6.83,14576.8,10251,6888.94,13644.88,13203,40,40,7,15.4,19.7,138.15,61.25,23.52,30.99
"AntennaPod_S1W1L1_2019-4-29@1559165229414",65,66.41,65,65.53,65,64.58,65,151,292.76,2989.99,8,9006.42,10251,6888.94,13644.88,13253,65,65,7,103.95,266.31,1559.54,118.07,42.09,101.36
"CallRecorder_S1W1L1_2019-6-12@1562926518816",5,5.11,5,5.04,5,4.97,65,113,22,1539.13,7.34,7704.6,3724,6888.94,2576.22,2520,5,5,7,6,7.84,7.14,1.92,6,7.84
"clipstack_S1W1L1_2019-4-28@1559050933965",72,73.56,72,72.59,72,71.53,60,171,155,1294.29,7.17,28567.1,10251,6888.94,29461.5,34711,72,72,9,4.9,7.17,23.92,9.08,4.67,7.41
"EasySoundRecorder_S1W1L1_2019-4-29@1559141326432",1,1.02,1,1.01,1,0.99,25,86,13,455.2,6.12,-1096.15,3724,6888.94,2576.22,713,12,12,7,2,NA,0.5,NA,2,NA
"F-Droid_S1W1L1_2019-6-12@1562926491807",0,0,0,0,0,0,45,76,0,1354.75,7.21,-2806.65,3724,6888.94,2576.22,2410,0,0,0,NA,NA,NA,NA,NA,NA
"Firefox_Klar_S1W1L1_2019-5-15@1560625157760",5,5.11,5,5.04,5,4.97,70,107,5,1410.26,7.25,7687.94,3724,6888.94,2576.22,2627,5,5,8,2,0,2.5,0,4.4,0.89
