"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"56","lasso","tm1","pred25","=",0,0,0,0,0.02,NA,"lasso-tm1-pred25"
"70","tm1","ucp","pred25","=",0,0,0,0,0.02,NA,"tm1-ucp-pred25"
"71","tm1","fp","pred25","=",0,0,0,0,0.02,NA,"tm1-fp-pred25"
"72","tm1","cosmic","pred25","-",0,0.14,0,0,0.02,-14,"tm1-cosmic-pred25"
"73","tm1","sloc","pred25","=",0,0,0,0,0.02,NA,"tm1-sloc-pred25"
"74","tm1","ln_sloc","pred25","-",0,0.14,0,0,0.02,-14,"tm1-ln_sloc-pred25"
"75","tm1","step_lnr","pred25","=",0,0,0,0,0.02,NA,"tm1-step_lnr-pred25"
"26","tm1","fp","mmre","+",1.15,1.29,0.01,0.01,1,-3.98,"tm1-fp-mmre"
"27","tm1","cosmic","mmre","+",1.15,2.52,0.01,0.01,1,-7.92,"tm1-cosmic-mmre"
"28","tm1","sloc","mmre","+",1.15,2.1,0.01,0.01,1,-6.13,"tm1-sloc-mmre"
"29","tm1","ln_sloc","mmre","-",1.15,0.73,0.01,0.01,1,10.11,"tm1-ln_sloc-mmre"
"30","tm1","step_lnr","mmre","+",1.15,7.81,0.01,0.01,1,-1.37,"tm1-step_lnr-mmre"
"48","neuralnet","tm1","pred25","+",0,0,0.01,0.01,1,0.14,"neuralnet-tm1-pred25"
"116","tm1","fp","mdmre","+",0.66,0.76,0.01,0.01,1,-3.89,"tm1-fp-mdmre"
"117","tm1","cosmic","mdmre","+",0.66,2.69,0.01,0.01,1,-26.82,"tm1-cosmic-mdmre"
"118","tm1","sloc","mdmre","+",0.66,2.19,0.01,0.01,1,-12.21,"tm1-sloc-mdmre"
"119","tm1","ln_sloc","mdmre","-",0.66,0.53,0.01,0.01,1,4.17,"tm1-ln_sloc-mdmre"
"120","tm1","step_lnr","mdmre","+",0.66,3,0.01,0.01,1,-1.15,"tm1-step_lnr-mdmre"
"161","tm1","fp","mae","+",4.02,4.51,0.01,0.01,1,-3.98,"tm1-fp-mae"
"162","tm1","cosmic","mae","+",4.02,8.82,0.01,0.01,1,-7.92,"tm1-cosmic-mae"
"163","tm1","sloc","mae","+",4.02,7.35,0.01,0.01,1,-6.13,"tm1-sloc-mae"
"164","tm1","ln_sloc","mae","-",4.02,2.56,0.01,0.01,1,10.11,"tm1-ln_sloc-mae"
"165","tm1","step_lnr","mae","+",4.02,27.32,0.01,0.01,1,-1.37,"tm1-step_lnr-mae"
