"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d"
"56","TRAN","LASSO","pred25","+","0.09","0.00","0","0","0.02","1.23"
"57","UCP","LASSO","pred25","+","0.01","0.00","0","0","0.02","0.19"
"58","IFPUG","LASSO","pred25","+","0.05","0.00","0","0","0.02","0.84"
"59","COSMIC","LASSO","pred25","+","0.09","0.00","0","0","0.02","1.24"
"60","SLOC","LASSO","pred25","+","0.04","0.00","0","0","0.02","0.75"
"61","LOG_SLOC","LASSO","pred25","+","0.08","0.00","0","0","0.02","1.31"
"62","STEP_REG","LASSO","pred25","+","0.09","0.00","0","0","0.02","1.08"
"70","TRAN","UCP","pred25","+","0.09","0.01","0","0","0.02"," 1.14"
"71","TRAN","IFPUG","pred25","+","0.09","0.05","0","0","0.02"," 0.40"
"72","TRAN","COSMIC","pred25","+","0.09","0.09","0","0","0.02"," 0.01"
"73","TRAN","SLOC","pred25","+","0.09","0.04","0","0","0.02"," 0.60"
"74","TRAN","LOG_SLOC","pred25","+","0.09","0.08","0","0","0.02"," 0.05"
"75","TRAN","STEP_REG","pred25","=","0.09","0.09","0","0","0.02"," 0.00"
"76","IFPUG","UCP","pred25","+","0.05","0.01","0","0","0.02","0.74"
"77","COSMIC","UCP","pred25","+","0.09","0.01","0","0","0.02","1.14"
"78","SLOC","UCP","pred25","+","0.04","0.01","0","0","0.02","0.62"
"79","LOG_SLOC","UCP","pred25","+","0.08","0.01","0","0","0.02","1.2"
"80","STEP_REG","UCP","pred25","+","0.09","0.01","0","0","0.02","1.01"
"81","COSMIC","IFPUG","pred25","+","0.09","0.05","0","0","0.02","0.38"
"82","IFPUG","SLOC","pred25","+","0.05","0.04","0","0","0.02"," 0.19"
"83","LOG_SLOC","IFPUG","pred25","+","0.08","0.05","0","0","0.02","0.37"
"84","STEP_REG","IFPUG","pred25","+","0.09","0.05","0","0","0.02","0.37"
"85","COSMIC","SLOC","pred25","+","0.09","0.04","0","0","0.02"," 0.59"
"86","COSMIC","LOG_SLOC","pred25","+","0.09","0.08","0","0","0.02"," 0.03"
"87","STEP_REG","COSMIC","pred25","+","0.09","0.09","0","0","0.02","0.01"
"88","LOG_SLOC","SLOC","pred25","+","0.08","0.04","0","0","0.02","0.59"
"89","STEP_REG","SLOC","pred25","+","0.09","0.04","0","0","0.02","0.55"
"90","STEP_REG","LOG_SLOC","pred25","+","0.09","0.08","0","0","0.02","0.04"
"108","TRAN","REG_TREE","mdmre","+","0.72","1.04","0","0","0.02","-0.46"
