,r,p-value
SWTI,0.85,0
SWTII,0.96,0
SWTIII,0.95,0
UUCP,0.21,0.16
AFP,0.86,0
COSMIC,0.83,0
SLOC,0.69,0
LOG_SLOC,0.52,0
