Proj,swtii_l1,swtii_l2,swtii_l3,swtii_l4,swtii_l5,swtii_l6,swtii_l7,SWTII,swtiii_l1,swtiii_l2,swtiii_l3,swtiii_l4,swtiii_l5,swtiii_l6,swtiii_l7,SWTIII,Effort1,swti_l1,SWTI,UUCP,AFP,COSMIC,SLOC,LOG_SLOC,Effort,Trans,Stm,Comp,TL,TL_SE,TD,TD_SE,DETs,DETs_SE
2048_S1W1L1_2019-4-28@1559050698438,2,1,4,0,0,0,0,14.61138217,3,0,0,4,0,0,0,18.41351284,560,7,6.749292595,25,110,12,864.0555762,6.761637091,557.7667197,7,7,7,3.571428571,2.070196678,5.591836735,0.716059777,2,0.577350269
AFHDownloader_S1W1L1_2019-6-12@1562926542058,1,1,2,0,1,0,0,15.25717299,4,0,0,1,0,0,0,8.060395979,1120,5,4.820923282,15,71,6,462.4333623,6.136502465,1115.045267,5,5,11,2.4,0.894427191,1.15,0.487339717,3.8,1.303840481
alltheapps_S1W1L1_2019-4-16@1558026623598,4,0,0,0,0,5,0,75.84791449,4,0,0,0,5,0,0,42.14336328,2816,9,8.677661908,55,90,112,4723.679944,8.460343424,2801.910584,9,9,8,27,31.65833224,21.59068797,10.02527094,22.33333333,26.6364412
AnExplorer_S1W1L1_2019-4-29@1559144669093,0,1,4,1,3,2,9,202.7137134,0,2,7,0,0,11,0,151.5617388,1167,20,19.28369313,0,77,453,12498.27846,9.433346191,1161.807185,20,20,7,37.2,67.9385171,163.5749068,37.24276623,26.3,45.13850031
AnotherMonitor_S1W1L1_2019-4-28@1559050904766,2,21,1,3,0,0,13,265.9960052,3,0,24,0,0,13,0,223.1547404,13203,40,38.56738626,5,85,318,921.8907149,6.826426686,202.3200378,40,40,7,15.4,19.70005857,138.1512603,61.25224352,23.525,30.99461285
AntennaPod_S1W1L1_2019-4-29@1559165229414,0,0,19,2,24,1,19,521.6876947,0,0,0,43,0,0,22,529.5444762,20253,65,62.67200267,145,151,292.76,8127.631486,9.00302483,15160.50123,65,65,7,103.9538462,266.3085282,1559.538873,118.0718077,42.09230769,101.357462
CallRecorder_S1W1L1_2019-6-12@1562926518816,2,0,0,2,1,0,0,16.79708557,2,0,0,3,0,0,0,13.54421019,520,5,4.820923282,80,113,22,1539.126234,7.338970154,517.9504783,5,5,7,6,7.842193571,7.136666667,1.916028879,6,7.842193571
clipstack_S1W1L1_2019-4-28@1559050933965,34,15,2,1,5,15,0,324.3978046,10,41,0,1,20,0,0,261.3760185,34711,72,69.42129527,60,111,155,476.1413381,6.165714739,708.0577789,72,72,9,4.902777778,7.174209918,23.92453641,9.07653879,4.666666667,7.407647362
CuffUpdateService_S1W1L1_2019-4-16@1558026636892,4,0,0,0,0,0,0,2.95065178,4,0,0,0,0,0,0,4.254791098,2816,4,3.856738626,45,77,4,4061.230315,8.30924124,2801.910584,4,4,7,2,0,2,0,2,0
EasySoundRecorder_S1W1L1_2019-4-29@1559141326432,1,0,0,0,0,0,0,0.737662945,1,0,0,0,0,0,0,1.063697775,713,1,0.964184656,25,86,13,167.457283,5.120728292,710.0482433,12,12,7,2,NA,0.5,NA,2,NA
F-Droid_S1W1L1_2019-6-12@1562926491807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,45,76,0,1354.748842,7.21137136,408.4453279,0,0,0,NA,NA,NA,NA,NA,NA
Firefox_Klar_S1W1L1_2019-5-15@1560625157760,0,1,4,0,0,0,0,13.13605628,5,0,0,0,0,0,0,5.318488873,627,5,4.820923282,110,107,5,1410.264339,7.25153244,624.4549586,5,5,8,2,0,2.5,0,4.4,0.894427191
Keyguard_S1W1L1_2019-4-16@1558026654419,6,1,0,0,0,0,0,6.925153169,7,0,0,0,0,0,0,7.445884422,1923,7,6.749292595,25,90,7,7031.122866,8.858101697,1913.839495,7,7,8,2,0,3.5,0,2.142857143,0.377964473
kindle_s1w1l1_2019-4-29@1559196356153,15,0,1,4,1,0,0,37.66578957,15,0,0,6,0,0,0,38.7890959,4266,21,20.24787779,55,125,97,873.2551271,6.772227755,4243.542548,48,48,8,2.904761905,2.047065263,14.72186147,0.682268971,3.142857143,4.339190181
KISS_s1w1l1_2019-4-29@1559196366893,15,33,13,1,1,10,0,284.9139505,4,20,38,0,1,10,0,285.1360195,19568,73,70.38547992,0,125,246,1642.298753,7.403852218,19446.27434,73,73,7,5.465753425,14.19612838,57.72363231,27.29661504,5.054794521,11.40162076
leafpic_S1W1L1_2019-4-28@1559051230049,0,1,0,0,0,0,0,2.499175499,1,0,0,0,0,0,0,1.063697775,4779,1,0.964184656,190,132,168.3,3291.114266,8.098981469,4753.501094,1,1,8,2,NA,0.5,NA,3,NA
