"","mmre","rank1","pred15","rank2","pred25","rank3","pred50","rank4","mdmre","rank5","mae","rank6","rank*"
"REG_TREE",0.75,1,0.24,1,0.24,1,0.4,2,0.59,1,3.2,1,1
"UCP",1.18,3,0,5,0,5,0.3,6,0.76,4,5.01,3,2
"SLOC",1.68,8,0,5,0,5,0.42,1,0.67,2,7.34,8,3
"IFPUG",1.28,4,0,5,0,5,0.31,5,1.06,7,5.6,4,4
"LASSO",1.47,6,0,5,0,5,0.37,3,0.8,5,6.35,6,4
"TRAN",0.96,2,0,5,0,5,0.06,10,0.87,6,4.09,2,4
"NEURAL_NET",1.64,7,0.19,2,0.19,2,0.36,4,1.22,9,7.17,7,7
"COSMIC",1.38,5,0,5,0,5,0.18,9,1.09,8,5.98,5,8
"LOG_SLOC",1.89,9,0.17,4,0.17,4,0.23,8,0.75,3,8.28,10,9
"STEP_REG",1.91,10,0.18,3,0.18,3,0.29,7,1.38,10,8.05,9,10
