,model_labels,model_texts,model_estimator,R2,f_test,Rank
1,reg_tree,REG_TREE,REG TREE,0.99,0,1
2,step_lnr,STEP_REG,STEP,0.99,0,1
3,fp,IFPUG,LSR,0.09,0.9,3
4,cosmic,COSMIC,LSR,0.07,0.92,4
5,neuralnet,NEURAL_NET,ANN,0.05,0.94,5
6,sloc,SLOC,LSR,0.01,0.98,6
7,lasso,LASSO,LASSO,0,1,7
8,ucp,UCP,LSR,0,1,7
9,ln_sloc,LOG_SLOC,LSR,-0.17,1,9
10,tm1,TRAN,LSR,-0.28,0.9,10
