NUM,PROJ,Effort,Effort_Norm,KSLOC,NT,NWT-I,NWT-II
1,f14a_cash_doctor,724,1146.36,2.95,34,238,238
2,f14a_gotrla,482,567.91,6.569,61,515,523
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,1012.18,1.5,17,118,116
14,F14a_REFERsy,263,462.32,7.25,36,198,190
3,F14a_sharethetraining_com,571,781.79,8.116,51,334,330
19,F14a_soccer_data_web_crawler,268.5,206.55,2.258,32,272,272
4,F14a_tipsure_com,266,734.24,0.73,53,556,556
5,F14a_women_at_work_website_redesign,140.5,415.83,3.2,30,198,206
6,F15a_combat_conflict,1281,1064.7,7.593,21,144,144
7,F15a_construction_meeting_minutes_application,1482.5,2837.8,1.386,89,613,616
8,F15a_nice_ecommerse,617,474.82,5.129,75,509,513
9,F15a_tour_conductor,1347,3279.96,3.679,24,216,220
18,s14b_location_based_ad,3680,2392.85,21.344,168,2332,2435
10,s15b_snap_valet,302.5,618.1,0.552,79,694,700
11,S15b_we_are_trojans_network,1965,4531.59,6.415,80,846,938
16,s16_bad_driver,1392,881.82,4.71,18,526,570
12,S16b_flower_seeker,804.5,541.36,7.365,48,250,244
17,s16b_Picshare_AA,1592,2993.78,8.209,53,324,326
20,s16b_Picshare_RA,3113,5850.41,8.059,70,1208,1301
15,s17_tikiman_go,737,739.72,3.12,18,320,298
