"","swtii_l1","swtii_l2","swtii_l3","swtii_l4","SWTII","swtiii_l1","swtiii_l2","swtiii_l3","swtiii_l4","swtiii_l5","SWTIII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","Effort","Trans","Stm","Comp","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"F-Droid_S1W1L1_2019-6-12@1562926491807",0,0,0,0,0,0,0,0,0,0,0,0,0,45,76,0,1354.748842,7.21137135967561,2410,0,0,0,NA,NA,NA,NA,NA,NA
"Firefox_Klar_S1W1L1_2019-5-15@1560625157760",0,5,0,0,11.9447553226951,5,0,0,0,0,7.71029138473505,5,4.95568205936897,70,107,5,1410.264339,7.25153244026916,2627,5,5,8,2,0,2.5,0,4.4,0.894427190999916
"Keyguard_S1W1L1_2019-4-16@1558026654419",6,1,0,0,8.07759039305418,7,0,0,0,0,10.7944079386291,7,6.93795488311656,25,90,7,1419.559224,7.2581016967757,1923,7,7,8,2,0,3.5,0,2.14285714285714,0.377964473009227
"kindle_s1w1l1_2019-4-29@1559196356153",15,1,5,0,39.2481628114436,15,0,6,0,0,43.0510640794696,21,20.8138646493497,55,125,97,873.2551271,6.77222775495513,4266,48,48,8,2.9047619047619,2.04706526287664,14.7218614718615,0.68226897074797,3.14285714285714,4.33919018119412
"KISS_s1w1l1_2019-4-29@1559196366893",15,41,7,10,168.759499534176,24,38,0,11,0,186.794901109251,73,72.3529580667869,50,125,246,1642.298753,7.40385221804225,19568,73,73,7,5.46575342465753,14.1961283765258,57.72363230769,27.2966150401382,5.05479452054795,11.4016207558386
"leafpic_S1W1L1_2019-4-28@1559051230049",0,1,0,0,2.38895106453902,1,0,0,0,0,1.54205827694701,1,0.991136411873794,70,132,168.3,1996.161707,7.59898146912089,4779,1,1,8,2,NA,0.5,NA,3,NA
"LockScreenApp_S1W1L1_2019-4-16@1558026676549",26,3,6,0,58.9827597279228,28,0,7,0,0,66.4178533339914,35,34.6897744155828,50,89,70,1124.968893,7.02551066358957,1408,35,35,11,3.68571428571429,8.26321198257116,4.92711484593838,2.88514272658294,3.25714285714286,6.42761897706186
"manglish_S1W1L1_2019-6-12@1562926484676",1,0,0,0,0.948106554752527,1,0,0,0,0,1.54205827694701,1,0.991136411873794,75,62,35.28,1340.776002,7.20100383129795,1200,1,1,4,2,NA,0.5,NA,2,NA
"materialistic_S1W1L1_2019-4-28@1559051254190",1,1,4,0,21.4471483597849,1,1,0,4,0,37.5044089249503,6,5.94681847124276,75,126,61,1499.318079,7.31276566972203,2335,6,6,10,28.1666666666667,30.8053025738535,24.3571484071484,6.38248012289067,33.5,35.9096087419509
"Mindorks_S1W1L1_2019-4-28@1559050892966",1,0,0,0,0.948106554752527,1,0,0,0,0,1.54205827694701,1,0.991136411873794,55,113,40.92,1531.773331,7.33418138308761,12559,1,1,18,2,NA,0.5,NA,2,NA
"Minimal-ToDo_S1W1L1_2019-4-29@1559165220745",0,0,0,0,0,0,0,0,0,0,0,0,0,30,56,33,470.1684191,6.15309096902683,560,0,0,0,NA,NA,NA,NA,NA,NA
"MLManager_S1W1L1_2019-4-28@1559051298340",1,0,15,0,68.8609468316026,1,0,12,3,0,67.2714556202759,16,15.8581825899807,65,101,36,1178.466078,7.0719689379144,2457,16,16,10,7.375,6.71192967781993,17.5370933362661,5.52796079316988,8.8125,8.98308595825139
"MovieGuide_S1W1L1_2019-4-29@1559165212417",4,0,4,0,21.9025169595035,4,0,4,0,0,19.448359724631,8,7.92909129499035,10,90,15,658.2551868,6.48959267802635,1069,8,8,13,5.875,8.3055489196767,6.88415750915751,1.35110288585707,5.25,8.41342464670091
"music_S1W1L1_2019-4-16@1558026688453",0,0,2,0,9.05504537024668,0,0,2,0,0,6.64006330842147,2,1.98227282374759,70,83,3,1583.540592,7.36741850000442,2816,2,2,11,7,4.24264068711928,2.175,0.106066017177982,6,4.24264068711928
"muzei_S1W1L1_2019-4-28@1559051308379",0,0,0,0,0,0,0,0,0,0,0,0,0,65,110,77.14,1192.073513,7.08344951770352,13337,0,0,4,NA,NA,NA,NA,NA,NA
"NewPipe_S1W1L1_2019-4-28@1559051314726",12,2,2,0,25.210226156355,0,14,0,2,0,37.4705942016452,16,15.8581825899807,60,160,240,1457.735861,7.28463973086126,12770,16,16,7,10.625,23.5679867617071,41.5598591549296,4.26234665663859,9.8125,20.7756869120293
"NewPipe_S1W1L1_2019-5-15@1560625183900",9,2,5,0,35.9484745474675,0,11,0,5,0,59.0286297216356,16,15.8581825899807,60,146,240,1501.567783,7.31426502992759,9234,16,16,7,6.5,9.912954487269,25.5471035788924,1.72741387035487,7.1875,11.3267750632443
"OmniNotes_S1W1L1_2019-4-28@1559051391827",0,0,0,0,0,0,0,0,0,0,0,0,0,85,134,334.32,1264.15061,7.1421557210896,4520,0,0,0,NA,NA,NA,NA,NA,NA
"opencamera_S1W1L1_2019-5-15@1560625238642",0,26,8,19,145.639581823758,0,0,34,0,19,242.376447131635,53,52.5302298293111,80,118,144.8,1527.025339,7.33107689905607,24212,53,53,8,192.320754716981,411.333795465103,1504.30788201305,608.578255671206,152.509433962264,328.580784039569
"OrientSwitch_S1W1L1_2019-4-16@1558026692483",8,1,0,0,9.97380350255923,9,0,0,0,0,13.8785244925231,9,8.92022770686414,15,98,9,2117.733511,7.65810169718762,4192,9,9,4,2,0,4.5,0,2.22222222222222,0.666666666666667
"prey_S1W1L1_2019-4-28@1559052797326",0,15,0,13,68.2019893702876,0,0,15,0,13,138.402570684219,28,27.7518195324662,20,90,290,1564.037752,7.35502605892135,2440,28,28,8,52.8928571428571,172.481311770443,335.28155639427,50.4726148132814,56.9642857142857,188.26114292787
"PullUpMenu_S1W1L1_2019-4-16@1558026695747",8,1,2,0,19.0288488728059,9,0,0,2,0,31.1378694877231,11,10.9025005306117,80,99,66,725.3940178,6.58671498005439,1408,11,11,8,14.3636363636364,28.0259619898148,14.9741952748681,9.23798558712519,9.18181818181818,16.036322407698
"rcbackground_S1W1L1_2019-4-16@1558026705258",8,0,0,0,7.58485243802021,8,0,0,0,0,12.3364662155761,8,7.92909129499035,35,91,8,1488.270431,7.30536994014354,1408,8,8,2,2,0,2.5,0.925820099772551,1.125,0.353553390593274
"reddit_S1W1L1_2019-4-28@1559052892979",74,45,11,20,277.261930034149,74,55,0,18,3,369.294391127762,150,148.670461781069,85,122,350,1530.889457,7.33360418991571,12686,150,150,8,4.45333333333333,8.40468602647234,52.2484343418316,36.9755642435654,4.38666666666667,7.45166678049994
"RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893",6,0,0,0,5.68863932851516,6,0,0,0,0,9.25234966168205,6,5.94681847124276,65,84,6,1353.466002,7.21042399015742,3408,6,6,2,2,0,2.16666666666667,0.816496580927726,1.83333333333333,0.408248290463863
"RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427",45,6,4,6,90.0475413541461,5,46,0,10,0,160.415406610484,61,60.4593211243014,50,123,162,1456.522071,7.28380672973473,2816,61,61,7,4.98360655737705,11.4709659623455,60.0720854085373,15.3111136212186,4.50819672131148,8.93424675209513
"RufusLocation_S1W1L1_2019-4-16@1558026747018",41,5,3,0,64.3996921229187,46,0,3,0,0,80.8947757021946,49,48.5656841818159,25,118,54,2212.734378,7.70198430483084,3112,49,49,6,2.20408163265306,0.934959710289136,8.01785714285714,3.27713035037261,2.40816326530612,1.09769393402219
"RufusMms_S1W1L1_2019-4-16@1558026754899",0,121,20,26,444.348979316092,0,3,136,0,28,646.690570360057,167,165.519780782924,85,198,475,3103.524469,8.04029367014678,42112,190,190,7,43.8383233532934,187.091927580659,1400.93545928139,276.74106161675,40.4131736526946,172.192496845791
"selfnet-wificonfig-master_S1W1L1_2019-6-12@1562926399486",3,0,0,0,2.84431966425758,3,0,0,0,0,4.62617483084103,3,2.97340923562138,10,101,319.24,758.8485693,6.63180224405144,3218,3,3,2,2,0,1.5,0,2,0
"superCleanMaster_S1W1L1_2019-4-29@1559141333216",10,0,0,0,9.48106554752527,10,0,0,0,0,15.4205827694701,10,9.91136411873794,40,92,118,1289.738105,7.16219445736465,3123,63,63,8,2,0,5,0,1,0
"swiftnotes_S1W1L1_2019-4-29@1559141346453",3,2,1,0,12.149744478459,5,0,1,0,0,11.0303230389458,6,5.94681847124276,50,76,31,483.109684,6.18024371689868,610,6,6,6,3.33333333333333,3.2659863237109,3.5,1.48323969741913,3.16666666666667,1.94079021706795
"telecine_S1W1L1_2019-4-29@1559141351965",5,1,3,2,25.6917016478567,6,0,3,2,0,36.4717896195143,11,10.9025005306117,30,143,46,736.7599354,6.6022621069697,11783,11,11,15,42,88.2009070248147,23.4576753331139,34.1211473151997,42.1818181818182,88.1167613814967
"Timber_S1W1L1_2019-4-29@1559141370065",1,0,0,0,0.948106554752527,1,0,0,0,0,1.54205827694701,1,0.991136411873794,40,127,123.32,1546.44993,7.34371721526734,2597,1,1,8,2,NA,0.5,NA,2,NA
"turbo-editor_s1w1l1_2019-4-29@1559196395708",4,1,0,0,6.18137728354912,5,0,0,0,0,7.71029138473505,5,4.95568205936897,50,71,26.72,406.4541669,6.00747117207754,305,5,5,2,2,0,2.5,0,2,0.707106781186548
"wally_S1W1L1_2019-4-29@1559143564066",5,0,6,0,31.9056688845027,3,2,0,6,0,59.2915311316476,11,10.9025005306117,60,84,111,1157.330032,7.0538709345735,1423,35,35,7,16.9090909090909,26.2314869782654,27.8010540184453,12.1224973787291,15.6363636363636,25.1367170779031
"WeatherWidget_S1W1L1_2019-4-16@1558027193482",8,0,0,0,7.58485243802021,8,0,0,0,0,12.3364662155761,8,7.92909129499035,25,117,8,1574.41191,7.36163709105596,3408,8,8,9,2,0,4,0,2,0
