"","swtii_l1","swtii_l2","swtii_l3","swtii_l4","SWTII","swtiii_l1","swtiii_l2","swtiii_l3","swtiii_l4","swtiii_l5","SWTIII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","Effort","Trans","Stm","Comp","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"2048_S1W1L1_2019-4-28@1559050698438",2,5,0,0,13.8409684322001,3,0,4,0,0,17.906301447684,7,6.93795488311656,25,110,12,864.0555762,6.76163709104089,2560,7,7,7,3.57142857142857,2.07019667802706,5.59183673469388,0.716059777238143,2,0.577350269189626
"AFHDownloader_S1W1L1_2019-6-12@1562926542058",1,3,1,0,12.6424824334929,4,0,1,0,0,9.48826476199877,5,4.95568205936897,15,71,6,462.4333623,6.13650246505823,1120,5,5,11,2.4,0.894427190999916,1.15,0.487339717240448,3.8,1.30384048104053
"alltheapps_S1W1L1_2019-4-16@1558026623598",4,0,5,0,26.4300396446268,4,0,0,5,0,49.3165955957881,9,8.92022770686414,55,90,112,1737.744738,7.46034342392249,2816,9,9,8,27,31.6583322365535,21.5906879709748,10.0252709417398,22.3333333333333,26.6364412037344
"AnExplorer_S1W1L1_2019-4-29@1559144669093",1,5,3,11,53.863503580835,0,2,7,0,11,101.09854709327,20,19.8227282374759,50,77,253,1691.458056,7.43334619098751,3167,20,20,7,37.2,67.9385170964392,163.574906826022,37.2427662268937,26.3,45.1385003132173
"AnotherMonitor_S1W1L1_2019-4-28@1559050904766",2,22,3,13,100.403427986936,3,24,0,0,13,127.876126484377,40,39.6454564749518,50,115,318,921.8907149,6.82642668605408,13203,40,40,7,15.4,19.7000585707837,138.151260336262,61.2522435180215,23.525,30.9946128487037
"AntennaPod_S1W1L1_2019-4-29@1559165229414",0,19,26,20,212.902157581298,0,0,43,0,22,292.703369528237,65,64.4238667717966,65,151,292.76,2989.988529,8.00302482992252,13253,65,65,7,103.953846153846,266.30852823659,1559.53887276133,118.071807653562,42.0923076923077,101.357461965826
"CallRecorder_S1W1L1_2019-6-12@1562926518816",2,0,3,0,15.4787811648751,2,0,3,0,0,13.0442115165262,5,4.95568205936897,65,113,22,1539.126234,7.33897015386696,2520,5,5,7,6,7.84219357067906,7.13666666666667,1.91602887939265,6,7.84219357067906
"clipstack_S1W1L1_2019-4-28@1559050933965",47,4,21,0,149.194788719115,36,15,4,17,0,237.153566910184,72,71.3618216549131,60,171,155,1294.286347,7.16571473883369,34711,72,72,9,4.90277777777778,7.17420991816672,23.9245364069484,9.07653878992431,4.66666666666667,7.40764736178901
"CuffUpdateService_S1W1L1_2019-4-16@1558026636892",4,0,0,0,3.79242621901011,4,0,0,0,0,6.16823310778804,4,3.96454564749518,45,77,4,1494.043139,7.30924124010856,2816,4,4,7,2,0,2,0,2,0
"EasySoundRecorder_S1W1L1_2019-4-29@1559141326432",1,0,0,0,0.948106554752527,1,0,0,0,0,1.54205827694701,1,0.991136411873794,25,86,13,455.1960895,6.12072829204587,713,12,12,7,2,NA,0.5,NA,2,NA
