"","model_labels","model_texts","model_estimator","R2","f_test","Rank"
"7","tm3","SWTII","LSR",0.62,0,1
"2","fp","IFPUG","LSR",0.56,0.01,2
"6","tm2","SWTI","LSR",0.56,0,2
"5","tm1","SWTIII","LSR",0.47,0.02,4
"1","cosmic","COSMIC","LSR",0.32,0.2,5
"4","sloc","SLOC","LSR",0.2,0.45,6
"3","ln_sloc","LOG_SLOC","LSR",0.11,0.49,7
"8","ucp","UCP","LSR",0,1,8
