"","model1","model2","metric","direction","mean1","mean2","84% CI1","84% CI2"
"1","ln_sloc","ucp","mmre","+",0.779,2.586,"[0.564, 1.06]","[1.164, 4.205]"
"2","ln_sloc","ucp","mae","+",3.895,12.932,"[2.82, 5.298]","[5.819, 21.027]"
