id,element,useCase,type,component
1,User:Customize  Data serivce page,Customize Data Service Subscription Notification,boundary,Homepage
2,User:Homepage,Customize Data Service Subscription Notification,boundary,Homepage
3,Confirmation page:Homepage,Customize Data Service Subscription Notification,boundary,Homepage
4,Confirmation page:Customize  Data serivce page,Customize Data Service Subscription Notification,boundary,Homepage
5,Customize data:Confirmation page,Customize Data Service Subscription Notification,control,Product Configuration
6,Customize  Data serivce page:Customize data,Customize Data Service Subscription Notification,control,Sensor Data Export File
7,stl#User:Customize  Data serivce page,Customize Data Service Subscription Notification,Stimulus,undefined
8,stl#User:Homepage,Customize Data Service Subscription Notification,Stimulus,undefined
