id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:photo list,Admin deletes photo,0,undefined,undefined
2,cancel deletion:select photos,Admin deletes photo,0,undefined,undefined
3,photo list:cancel deletion,Admin deletes photo,0,undefined,undefined
4,change mode:photo list,Admin deletes photo,0,undefined,undefined
5,confirm delete photos:photo,Admin deletes photo,0,undefined,undefined
6,select photos:confirm delete photos,Admin deletes photo,0,undefined,undefined
7,pop up photo connection error:photo,Admin deletes photo,0,undefined,undefined
8,photo list:select photos,Admin deletes photo,0,undefined,undefined
9,photo list:pop up photo connection error,Admin deletes photo,0,undefined,undefined
10,User:photo list,Admin deletes photo,0,undefined,undefined
11,stl#Actor:photo list,Admin deletes photo,0,undefined,undefined
12,stl#User:photo list,Admin deletes photo,0,undefined,undefined
