id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->document upload page->Validate the information of description->save uploaded document->update case information page->case information page,EQ,CTRL|INT,undefined,Upload document,Upload document
2,Case Manager->document upload page->Validate the information of description->save uploaded document->document,EI,CTRL|DM|EI,undefined,Upload document,Upload document
3,Case Manager->document upload page->Validate the information of description->invalid description message,EQ,CTRL|INT,undefined,Upload document,Upload document
4,Case Manager->Add new button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Upload document,Upload document
5,Case Manager->Add new button->validate role of user->document upload page,EQ,CTRL|INT,undefined,Upload document,Upload document
6,Case Manager->Add new button->validate role of user->role,EI,CTRL|DM|EI,undefined,Upload document,Upload document
7,Administrator->document upload page->Validate the information of description->save uploaded document->update case information page->case information page,EQ,CTRL|INT,undefined,Upload document,Upload document
8,Administrator->document upload page->Validate the information of description->save uploaded document->document,EI,CTRL|DM|EI,undefined,Upload document,Upload document
9,Administrator->document upload page->Validate the information of description->invalid description message,EQ,CTRL|INT,undefined,Upload document,Upload document
10,Administrator->Add new button->validate role of user->unauthorized information message,EQ,CTRL|INT,undefined,Upload document,Upload document
11,Administrator->Add new button->validate role of user->document upload page,EQ,CTRL|INT,undefined,Upload document,Upload document
12,Administrator->Add new button->validate role of user->role,EI,CTRL|DM|EI,undefined,Upload document,Upload document
