id,element,useCase,type,component
1,User:Homepage,Receive Notification for Subscribed Data Service,boundary,Homepage
2,User:Receive notification  page,Receive Notification for Subscribed Data Service,boundary,Data Service Configuration Form
3,Confirmation page:Receive notification  page,Receive Notification for Subscribed Data Service,boundary,Data Service Configuration Form
4,Confirmation page:Homepage,Receive Notification for Subscribed Data Service,boundary,Homepage
5,validate data services:Confirmation page,Receive Notification for Subscribed Data Service,control,Product Configuration
6,Receive notification  page:stores the data into the database,Receive Notification for Subscribed Data Service,control,Web based product configurator and data service system
7,validate data services:data services db,Receive Notification for Subscribed Data Service,boundary,Data Service Configuration Form
8,stores the data into the database:validate data services,Receive Notification for Subscribed Data Service,boundary,Data Service Configuration Form
9,stl#User:Homepage,Receive Notification for Subscribed Data Service,Stimulus,undefined
10,stl#User:Receive notification  page,Receive Notification for Subscribed Data Service,Stimulus,undefined
