id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
50,Administrator->Administrator's dashboard->display publish meetings screen->Meetings,EI,CTRL|DM|EI,4,1,1,1,1,1,Publish Meeting,Publish Meeting
51,Administrator->meeting list and push lish options->Update meetings status->attendee list,EI,CTRL|DM|EI,4,1,1,1,1,2,Publish Meeting,Publish Meeting
52,Administrator->meeting list and push lish options->Update meetings status->send messages to attendees list->attendee list,EI,CTRL|DM|EI,5,1,2,1,1,2,Publish Meeting,Publish Meeting
53,Administrator->meeting list and push lish options->Update meetings status->empty publish meeting screen,EQ,CTRL|INT,4,2,1,0,1,5,Publish Meeting,Publish Meeting
54,Administrator->meeting list and push lish options->Update meetings status->Meetings,EI,CTRL|DM|EI,4,1,1,1,1,2,Publish Meeting,Publish Meeting
55,Administrator->Create meeting screen->Verifies attendee list->user already exists toasts,EQ,CTRL|INT,4,2,1,0,1,5,Create meeting,Create meeting
56,Administrator->Create meeting screen->Verifies attendee list->create a meeting->meeting,EI,CTRL|DM|EI,5,1,2,1,1,2,Create meeting,Create meeting
57,Administrator->create meeting option->display the create meeting screen->Attendee Info,EI,CTRL|DM|EI,4,1,1,1,1,1,Create meeting,Create meeting
58,Administrator->create meeting option->display the create meeting screen->Tasks,EI,CTRL|DM|EI,4,1,1,1,1,1,Create meeting,Create meeting
59,Administrator->create meeting option->display the create meeting screen->Create meeting screen,EQ,CTRL|INT,4,2,1,0,1,4,Create meeting,Create meeting
60,Administrator->Meeting list->export meeting->pdf,EI,CTRL|DM|EI,4,1,1,1,1,1,Generate log,Generate log
61,Administrator->Meeting list->export meeting->meetings,EI,CTRL|DM|EI,4,1,1,1,1,2,Generate log,Generate log
62,Administrator->generate meeting log->query meetings by project->meetings,EI,CTRL|DM|EI,4,1,1,1,1,1,Generate log,Generate log
63,Administrator->generate meeting log->query meetings by project->Meeting list,EQ,CTRL|INT,4,2,1,0,1,4,Generate log,Generate log
64,Administrator->generate meeting log->query meetings by project->no meeting error page,EQ,CTRL|INT,4,2,1,0,1,4,Generate log,Generate log
65,Administrator->meeting information screen->verify attendee list->save user info->meeting info,EI,CTRL|DM|EI,5,1,2,1,1,2,Edit meeting,Edit meeting
66,Administrator->meeting information screen->verify attendee list->Information invalid,EQ,CTRL|INT,4,2,1,0,1,5,Edit meeting,Edit meeting
67,Administrator->Edit meeting option->display meetings screen->meeting information screen,EQ,CTRL|INT,4,2,1,0,1,4,Edit meeting,Edit meeting
68,Administrator->Edit meeting option->display meetings screen->meeting,EI,CTRL|DM|EI,4,1,1,1,1,1,Edit meeting,Edit meeting
69,Administrator->Edit project screen->Verify default user list->invalid user info toast,EQ,CTRL|INT,4,2,1,0,1,5,Edit project,Edit project
70,Administrator->Edit project screen->Verify default user list->save project info->project,EI,CTRL|DM|EI,5,1,2,1,1,2,Edit project,Edit project
71,Administrator->Edit project option->display edit project screen->Edit project screen,EQ,CTRL|INT,4,2,1,0,1,4,Edit project,Edit project
72,Administrator->Edit project option->display edit project screen->meeting,EI,CTRL|DM|EI,4,1,1,1,1,1,Edit project,Edit project
73,User->view meeting option->Query meetings by user->meeting view,EQ,CTRL|INT,4,2,1,0,1,4,View meeting,View meeting
74,User->view meeting option->Query meetings by user->meeting,EI,CTRL|DM|EI,4,1,1,1,1,1,View meeting,View meeting
75,User->view meeting option->Query meetings by user->list with no meetings,EQ,CTRL|INT,4,2,1,0,1,4,View meeting,View meeting
76,user->view assigned tasks option->query meeting minutes by project and user->meeting minutes,EI,CTRL|DM|EI,4,1,1,1,1,1,View assigned tasks,View assigned tasks
77,user->view assigned tasks option->query meeting minutes by project and user->no assigned tasks message,EQ,CTRL|INT,4,2,1,0,1,4,View assigned tasks,View assigned tasks
78,user->view assigned tasks option->query meeting minutes by project and user->meeting minutes,EQ,CTRL|INT,4,2,1,0,1,4,View assigned tasks,View assigned tasks
79,User->asigned task list->open comment input page->comment input page,EQ,CTRL|INT,4,2,1,0,1,4,Submit comments to assigned task,Submit comments to assigned task
80,User->comment input page->submit comment->comment,EI,CTRL|DM|EI,4,1,1,1,1,1,Submit comments to assigned task,Submit comments to assigned task
81,User->comment input page->submit comment->error for too long comment,EQ,CTRL|INT,4,2,1,0,1,5,Submit comments to assigned task,Submit comments to assigned task
82,User->comment input page->submit comment->notification,EI,CTRL|DM|EI,4,1,1,1,1,1,Submit comments to assigned task,Submit comments to assigned task
83,User->view status of submitted comments button->query comments->no available comments,EQ,CTRL|INT,4,2,1,0,1,4,View Status of Submitted Comment,View Status of Submitted Comment
84,User->view status of submitted comments button->query comments->comment status view,EQ,CTRL|INT,4,2,1,0,1,4,View Status of Submitted Comment,View Status of Submitted Comment
85,User->view status of submitted comments button->query comments->comment,EI,CTRL|DM|EI,4,1,1,1,1,1,View Status of Submitted Comment,View Status of Submitted Comment
86,Administrator->meeting publish button->publish meeting->meeting,EI,CTRL|DM|EI,4,1,1,1,1,1,Send notification,Send notification
87,Administrator->meeting publish button->publish meeting->send notification->notification,EI,CTRL|DM|EI,5,1,2,1,1,2,Send notification,Send notification
88,User->Task list with comment box->add comment->send notification->notification,EI,CTRL|DM|EI,5,1,2,1,1,2,Send notification,Send notification
89,User->Task list with comment box->add comment->comment,EI,CTRL|DM|EI,4,1,1,1,1,1,Send notification,Send notification
