NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Post Picture,20,1,6,7,2,16,4,1,5,0,0,1,5,1,0,0,0,0,1.25,3.8333333333333335,4.791666666666667,6,10,13
2,Delete Picture,7,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,2,5,4
3,View Specific Picture,3,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0.75,4,3,1,5,1
4,Like Picture,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
5,Unlike Picture,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
6,Report Picture - Submit,7,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,2,5,4
7,Save Picture to Device,5,1,1,1,2,5,0,1,1,0,0,0,1,1,0,0,0,0,1,4,4,1,5,1
8,Browse Event Pictures,12,1,4,4,1,10,3,1,3,0,0,0,3,0,0,1,0,0,1.2,4.666666666666667,5.6000000000000005,3,5,9
9,Sort Pictures,7,1,3,2,0,6,2,0,2,0,0,0,2,0,0,0,0,0,1.1666666666666667,4,4.666666666666667,2,5,6
10,Create Private Event,8,1,2,2,1,6,1,0,1,0,0,0,1,0,0,0,0,0,1.3333333333333333,4,5.333333333333333,1,5,3
11,Delete Event,9,1,2,3,2,8,1,2,3,0,0,0,3,2,0,0,0,0,1.125,4.333333333333333,4.875,3,5,5
12,Search Events,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
13,Create Public Events,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
14,Browse Users,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
15,Suspend User - Confirm,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
16,Update Event,11,1,3,3,1,8,2,2,4,0,0,0,4,2,0,0,0,0,1.375,4,5.5,4,10,8
17,Search Pictures,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
18,Restore Reported Picture,3,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0.75,4,3,1,5,1
19,Change App Settings,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
20,Generate Statistics Report,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
21,Login,7,2,2,1,1,6,1,1,3,1,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3,5,5
22,Register,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
23,Logout,3,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0.75,4,3,1,5,1
24,View Nearby Pictures,3,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0.75,4,3,1,5,1
