id,element,useCase,type,outboundDegree,inboundDegree
1,User:Sorting options,Sort Pictures,0,undefined,undefined
2,User:Sorted List of Pictures,Sort Pictures,0,undefined,undefined
3,User:Filter Icon,Sort Pictures,0,undefined,undefined
4,User:Sorting options,Sort Pictures,0,undefined,undefined
5,Display sorting options:Sorting options,Sort Pictures,0,undefined,undefined
6,Display sorting options:Sorting options,Sort Pictures,0,undefined,undefined
7,Filter Icon:Display sorting options,Sort Pictures,0,undefined,undefined
8,sort the picture:Sorted List of Pictures,Sort Pictures,0,undefined,undefined
9,Sorting options:sort the picture,Sort Pictures,0,undefined,undefined
10,stl#User:Sorting options,Sort Pictures,0,undefined,undefined
11,stl#User:Sorted List of Pictures,Sort Pictures,0,undefined,undefined
12,stl#User:Filter Icon,Sort Pictures,0,undefined,undefined
13,stl#User:Sorting options,Sort Pictures,0,undefined,undefined
