id,element,useCase,type,component
1,User:Homepage,View Joblist,control,Event Image
2,User:View joblist page,View Joblist,control,Job Opening List
3,Show confirmation page:Homepage,View Joblist,control,Event Image
4,Show confirmation page:View joblist page,View Joblist,control,Job Opening List
5,select a  job list:Show confirmation page,View Joblist,control,Job Application Form 
6,View joblist page:select a  job list,View Joblist,control,Job Opening List
7,stl#User:Homepage,View Joblist,Stimulus,undefined
8,stl#User:View joblist page,View Joblist,Stimulus,undefined
