id,element,useCase,type,component
1,Admin:Types of attendance,Export attendance,control,Girl Attendance
2,Admin:Attendance page,Export attendance,control,Girl Attendance
3,Admin:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
4,Admin:Select attendance button,Export attendance,control,Girl Attendance
5,Staff:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
6,Staff:Types of attendance,Export attendance,control,Girl Attendance
7,Staff:Attendance page,Export attendance,control,Girl Attendance
8,Attendance page:display type of attendance for export,Export attendance,control,Girl Attendance
9,Display attendance page:Attendance page,Export attendance,control,Girl Attendance
10,Select file location to save:Data export success message,Export attendance,boundary,Dataexportsuccessmessage
11,Display attendance page:attendance,Export attendance,control,Girl Attendance
12,Select attendance button:Display attendance page,Export attendance,control,Girl Attendance
13,Select file location to save:csv files,Export attendance,control,csvfiles
14,export data to csv file:Select file location to save,Export attendance,control,Team Information
15,Types of attendance:export data to csv file,Export attendance,control,csvfiles
16,display type of attendance for export:Types of attendance,Export attendance,control,Girl Attendance
17,display type of attendance for export:attendance,Export attendance,control,Girl Attendance
18,stl#Admin:Types of attendance,Export attendance,Stimulus,undefined
19,stl#Admin:Attendance page,Export attendance,Stimulus,undefined
20,stl#Admin:Data export success message,Export attendance,Stimulus,undefined
21,stl#Admin:Select attendance button,Export attendance,Stimulus,undefined
22,stl#Staff:Data export success message,Export attendance,Stimulus,undefined
23,stl#Staff:Types of attendance,Export attendance,Stimulus,undefined
24,stl#Staff:Attendance page,Export attendance,Stimulus,undefined
