id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,User->add image for switch page->save image in db->Error message when saving image,EQ,CTRL|INT,4,2,1,0,1,1,Add image  for switch,Add image for switch
2,User->add image for switch page->save image in db->Image,EI,CTRL|DM|EI,4,1,1,1,1,0,Add image  for switch,Add image for switch
3,User->list of gateway->popup gateway name edit page->gateway name edit page,EQ,CTRL|INT,4,2,1,0,1,1,Assign gateways names,Assign gateways names
4,User->list of gateway->popup gateway name edit page->gateway,EI,CTRL|DM|EI,4,1,1,1,1,0,Assign gateways names,Assign gateways names
5,User->gateway name edit page->save gateway name to DB->gateway,EI,CTRL|DM|EI,4,1,1,1,1,1,Assign gateways names,Assign gateways names
6,User->gateway name edit page->save gateway name to DB->display error message->Error message when saving name,EQ,CTRL|INT,5,2,2,0,1,2,Assign gateways names,Assign gateways names
7,User->delete gateway confirm dialog->delete gateway from db->Display error message when deleting,FUNC_NA,TRAN_NA,4,1,2,0,1,1,Delete gateway,Delete gateway
8,User->delete gateway confirm dialog->delete gateway from db->gateways,EI,CTRL|DM|EI,4,1,1,1,1,1,Delete gateway,Delete gateway
9,User->Error when deleting gateway->Display error message when deleting,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Delete gateway,Delete gateway
10,User->List of gateways->delete confirm dialog->delete gateway confirm dialog,EQ,CTRL|INT,4,2,1,0,1,1,Delete gateway,Delete gateway
11,User->List of gateways->delete confirm dialog->gateways,EI,CTRL|DM|EI,4,1,1,1,1,0,Delete gateway,Delete gateway
12,User->switch detail page->update switch status->Switch,EI,CTRL|DM|EI,4,1,1,1,1,1,Swith on/off switches,Swith on/off switches
13,User->switch detail page->update switch status->Error message when updating switchs->Error message of updating,EQ,CTRL|INT,5,2,2,0,1,2,Swith on/off switches,Swith on/off switches
14,User->List of switches->update list of switch->Switch,EI,CTRL|DM|EI,4,1,1,1,1,0,Swith on/off switches,Swith on/off switches
15,User->List of switches->update list of switch->switch detail page,EQ,CTRL|INT,4,2,1,0,1,1,Swith on/off switches,Swith on/off switches
16,User->list of switch->add switch to favoriate->Favoriate,EI,CTRL|DM|EI,4,1,1,1,1,0,Add favorite screen,Add favorite screen
17,User->list of switch->add switch to favoriate->Display error message when adding to favorite->Error message when updating,EQ,CTRL|INT,5,2,2,0,1,2,Add favorite screen,Add favorite screen
18,User->Add favorite screen->query list of switchs->list of switch,EQ,CTRL|INT,4,2,1,0,1,1,Add favorite screen,Add favorite screen
19,User->Add favorite screen->query list of switchs->Switch,EI,CTRL|DM|EI,4,1,1,1,1,0,Add favorite screen,Add favorite screen
