id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Error message when saving image,boundary,0,2,Add image  for switch,Add image for switch
2,Image,entity,0,1,Add image  for switch,Add image for switch
3,save image in db,control,2,1,Add image  for switch,Add image for switch
4,add image for switch page,boundary,1,1,Add image  for switch,Add image for switch
5,User,actor,2,0,Add image  for switch,Add image for switch
6,display error message,control,1,1,Assign gateways names,Assign gateways names
7,Error message when saving name,boundary,0,2,Assign gateways names,Assign gateways names
8,save gateway name to DB,control,2,1,Assign gateways names,Assign gateways names
9,gateway name edit page,boundary,1,2,Assign gateways names,Assign gateways names
10,gateway,entity,0,2,Assign gateways names,Assign gateways names
11,popup gateway name edit page,control,2,1,Assign gateways names,Assign gateways names
12,list of gateway,boundary,1,1,Assign gateways names,Assign gateways names
13,User,actor,3,0,Assign gateways names,Assign gateways names
14,Display error message when deleting,control,0,2,Delete gateway,Delete gateway
15,Error when deleting gateway,boundary,1,1,Delete gateway,Delete gateway
16,delete gateway from db,control,2,1,Delete gateway,Delete gateway
17,delete gateway confirm dialog,boundary,1,2,Delete gateway,Delete gateway
18,gateways,entity,0,2,Delete gateway,Delete gateway
19,delete confirm dialog,control,2,1,Delete gateway,Delete gateway
20,List of gateways,boundary,1,1,Delete gateway,Delete gateway
21,User,actor,3,0,Delete gateway,Delete gateway
22,Error message when updating switchs,control,1,1,Swith on/off switches,Swith on/off switches
23,Error message of updating,boundary,0,2,Swith on/off switches,Swith on/off switches
24,update switch status,control,2,1,Swith on/off switches,Swith on/off switches
25,switch detail page,boundary,1,2,Swith on/off switches,Swith on/off switches
26,Switch,entity,0,2,Swith on/off switches,Swith on/off switches
27,update list of switch,control,2,1,Swith on/off switches,Swith on/off switches
28,List of switches,boundary,1,1,Swith on/off switches,Swith on/off switches
29,User,actor,3,0,Swith on/off switches,Swith on/off switches
30,Display error message when adding to favorite,control,1,1,Add favorite screen,Add favorite screen
31,Error message when updating,boundary,0,2,Add favorite screen,Add favorite screen
32,Favoriate,entity,0,1,Add favorite screen,Add favorite screen
33,add switch to favoriate,control,2,1,Add favorite screen,Add favorite screen
34,list of switch,boundary,1,2,Add favorite screen,Add favorite screen
35,Switch,entity,0,1,Add favorite screen,Add favorite screen
36,query list of switchs,control,2,1,Add favorite screen,Add favorite screen
37,Add favorite screen,boundary,1,1,Add favorite screen,Add favorite screen
38,User,actor,3,0,Add favorite screen,Add favorite screen
