id,element,useCase,type,component
1,User:add success information,Manage JEP Documents,control,successmessage
2,User:"Documents" link,Manage JEP Documents,control,savedocumentintoserver
3,User:students page,Manage JEP Documents,boundary,redirecttoapagewiththecurerntsiteslist
4,User:invalid format document message,Manage JEP Documents,control,displayinvalidemailformat
5,User:success message,Manage JEP Documents,control,successmessage
6,User:Display usc Id empty error,Manage JEP Documents,control,displayinvalidemailformat
7,User:USC ID existing error,Manage JEP Documents,entity,checkuscidexistornot
8,User:document upload panel,Manage JEP Documents,control,savedocumentintoserver
9,User:file descirption page,Manage JEP Documents,control,successmessage
10,"Documents" link:display a page that contents a form for uploading documents,Manage JEP Documents,control,displayinvalidemailformat
11,check format of document:Display usc Id empty error,Manage JEP Documents,control,displayinvalidemailformat
12,check format of document:USC ID existing error,Manage JEP Documents,entity,checkuscidexistornot
13,add student info:user management,Manage JEP Documents,boundary,emptyannouncementform
14,add student info:add success information,Manage JEP Documents,control,successmessage
15,students page:add student info,Manage JEP Documents,control,addstudentinfo
16,check format of document:save document into server,Manage JEP Documents,control,savedocumentintoserver
17,check format of document:invalid format document message,Manage JEP Documents,control,displayinvalidemailformat
18,file descirption page:check format of document,Manage JEP Documents,control,savedocumentintoserver
19,delete document:local storage,Manage JEP Documents,entity,checkuscidexistornot
20,save document into server:delete document,Manage JEP Documents,control,savedocumentintoserver
21,display a page that contents a form for uploading documents:document upload panel,Manage JEP Documents,control,savedocumentintoserver
22,display document detail page:user management,Manage JEP Documents,boundary,emptyannouncementform
23,display document detail page:file descirption page,Manage JEP Documents,control,successmessage
24,document upload panel:display document detail page,Manage JEP Documents,control,displayinvalidemailformat
25,display students page:students page,Manage JEP Documents,control,addstudentinfo
26,display success message:display students page,Manage JEP Documents,control,addstudentinfo
27,display success message:success message,Manage JEP Documents,control,successmessage
28,save document into server:display success message,Manage JEP Documents,control,successmessage
29,save document into server:download document,Manage JEP Documents,control,savedocumentintoserver
30,save document into server:local storage,Manage JEP Documents,entity,checkuscidexistornot
31,stl#User:add success information,Manage JEP Documents,Stimulus,undefined
32,stl#User:"Documents" link,Manage JEP Documents,Stimulus,undefined
33,stl#User:students page,Manage JEP Documents,Stimulus,undefined
34,stl#User:invalid format document message,Manage JEP Documents,Stimulus,undefined
35,stl#User:success message,Manage JEP Documents,Stimulus,undefined
36,stl#User:Display usc Id empty error,Manage JEP Documents,Stimulus,undefined
37,stl#User:USC ID existing error,Manage JEP Documents,Stimulus,undefined
38,stl#User:document upload panel,Manage JEP Documents,Stimulus,undefined
39,stl#User:file descirption page,Manage JEP Documents,Stimulus,undefined
