id,element,useCase,type,component
1,customer:chat button,Private message,control,location
2,customer:successful communication message,Private message,boundary,successfulchangemessage
3,customer:exceeded limit error message,Private message,boundary,successfulchangemessage
4,customer:comment and concerns panel,Private message,boundary,CustomerController
5,chat button:display chat panel,Private message,control,PayPalInstance
6,comment and concerns panel:save comments/concerns,Private message,boundary,CustomerController
7,display chat panel:comment and concerns panel,Private message,boundary,CustomerController
8,save comments/concerns:message,Private message,boundary,successfulchangemessage
9,save comments/concerns:successful communication message,Private message,boundary,successfulchangemessage
10,stl#customer:chat button,Private message,Stimulus,undefined
11,stl#customer:successful communication message,Private message,Stimulus,undefined
12,stl#customer:exceeded limit error message,Private message,Stimulus,undefined
13,stl#customer:comment and concerns panel,Private message,Stimulus,undefined
