id,operation,element
1,Bride,Bride
2,design_invite,Couple
3,save_invite,Couple
4,update_guest_list,Couple
5,send_invite,Couple
6,view_guestList,Couple
7,takeSurvey,Couple
8,parseuploadedfile,Couple
9,filedb,Couple
10,RedirecttocoupleswebsitewitheventdetailsandRSVPform,Couple
11,Draggable,Draggable
12,Event,Event
13,Requirementspage,Event
14,Saveallpoisitionsandcotnent,Event
15,SaveRSVPintodb,Event
16,eventdetailsandRSVP,Event
17,Groom,Groom
18,backgroundinfo,Groom
19,rsvp,Guest
20,emptylistmessage,Guest
21,guestlistpage,Guest
22,guestinfo,Guest
23,User,User
24,UserSpecificContent,UserSpecificContent
25,Positionsandcontentinfo,UserSpecificContent
26,entercredentialspage,UserSpecificContent
27,helpactorhtm,$help://actor.htm
28,helpusecasediagramhtm,$help://usecasediagram.htm
29,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
30,SystemBoundary,System Boundary
31,savebackgroundintodb,System Boundary
32,weddingwebsiteisdisplayed,weddingwebsiteisdisplayed
33,websitelinkinemail,weddingwebsiteisdisplayed
34,successmessage,successmessage
35,emptylistmessage,successmessage
36,accountalreadyexistsmessage,successmessage
37,Errormessageforwrongcredentials,successmessage
38,errormessagenoinvitessendmessaage,successmessage
39,confirmationmessage,successmessage
40,deleteerrormessage,successmessage
41,invitationlink,invitationlink
42,sendregistrationlinktouser,invitationlink
43,selectsinvitationbackgroundpage,invitationlink
44,confirmationpage,invitationlink
45,sendinvitesbutton,invitationlink
46,saveinformationintodatabase,invitationlink
47,downloadabletemplatepageforfillingdata,invitationlink
