id,element,useCase,type,component
1,User :Login page,logout,boundary,Homepage
2,User :Homepage,logout,boundary,Homepage
3,End session:Show confirmation,logout,control,Showconfirmation
4,Validate password and usename:End session,logout,control,Endsession
5,Show confirmation:Homepage,logout,boundary,Homepage
6,Login page:Validate password and usename,logout,control,Retypenew�Cpassword
7,Show confirmation:Login page,logout,boundary,Homepage
8,stl#User :Login page,logout,Stimulus,undefined
9,stl#User :Homepage,logout,Stimulus,undefined
