id,element,useCase,type,component
1,User:unauthorized action message,upload document,boundary,descriptionshouldnotbeblankmessage
2,User:invalid description message,upload document,boundary,descriptionshouldnotbeblankmessage
3,User:add vew button,upload document,boundary,reportbutton
4,User:document upload page,upload document,boundary,Document upload
5,User:update the case information page,upload document,boundary,Case information
6,add vew button:validate the role of user,upload document,control,Limited User
7,insert document into document db:document db,upload document,boundary,Document upload
8,document upload page:validate information of description,upload document,control,Use information
9,validate the role of user:document upload page,upload document,boundary,Document upload
10,insert document into document db:update the case information page,upload document,boundary,Case information
11,validate information of description:insert document into document db,upload document,boundary,Document upload
12,validate information of description:invalid description message,upload document,boundary,descriptionshouldnotbeblankmessage
13,validate the role of user:unauthorized action message,upload document,boundary,descriptionshouldnotbeblankmessage
14,validate the role of user:user,upload document,entity,User
15,stl#User:unauthorized action message,upload document,Stimulus,undefined
16,stl#User:invalid description message,upload document,Stimulus,undefined
17,stl#User:add vew button,upload document,Stimulus,undefined
18,stl#User:document upload page,upload document,Stimulus,undefined
19,stl#User:update the case information page,upload document,Stimulus,undefined
