NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Login,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3,5,7
2,Logout,7,1,3,2,0,6,2,0,2,0,0,0,2,0,0,0,0,0,1.1666666666666667,5,5.833333333333334,2,5,6
3,Submit buyer registration,8,1,2,2,2,7,1,2,3,0,0,0,3,2,0,0,0,0,1.1428571428571428,4.666666666666667,5.333333333333333,3,5,5
4,Submit vendor registration,8,1,2,2,2,7,1,2,3,0,0,0,3,2,0,0,0,0,1.1428571428571428,4.666666666666667,5.333333333333333,3,5,5
5,Add item to cart,3,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0.75,4,3,1,5,1
6,Check out,14,2,3,5,2,12,2,2,5,1,3,0,5,2,0,0,0,0,1.1666666666666667,4.2,4.9,5,10,7
7,Edit cart,5,1,1,2,1,5,0,1,1,0,0,0,1,1,0,0,0,0,1,5,5,1,5,1
8,Delete item in cart,5,1,1,2,1,5,0,1,1,0,0,0,1,1,0,0,0,0,1,5,5,1,5,1
9,Edit product,12,1,4,4,1,10,3,1,4,0,0,0,4,1,0,0,0,0,1.2,4.5,5.3999999999999995,4,10,10
10,Create product,12,1,5,2,1,9,4,1,5,0,0,0,5,1,0,0,0,0,1.3333333333333333,4,5.333333333333333,5,10,13
11,Delete product,10,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.25,4,5,4,10,10
12,Create blog,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
13,Write comment,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3,5,7
14,Search product,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3,5,7
15,Vendor email customer,5,2,1,2,1,6,0,1,2,1,0,0,2,1,0,0,0,0,0.8333333333333334,4.5,3.75,2,5,2
16,Admin email vendor,5,2,1,2,1,6,0,1,2,1,0,0,2,1,0,0,0,0,0.8333333333333334,4.5,3.75,2,5,2
17,Create and email newsletter,14,1,4,5,2,12,3,2,5,0,0,0,5,2,0,0,0,0,1.1666666666666667,4.2,4.9,5,10,11
18,Signup for newsletter,5,2,1,2,1,6,0,1,2,1,0,0,2,1,0,0,0,0,0.8333333333333334,4.5,3.75,2,5,2
19,Check order,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
20,Approve new vendors,7,2,2,2,1,7,1,1,3,1,0,0,3,1,0,0,0,0,1,4.333333333333333,4.333333333333333,3,5,5
21,Manage account setting,11,1,3,4,2,10,2,2,4,0,0,0,4,2,0,0,0,0,1.1,4.75,5.2250000000000005,4,10,8
22,Display vendors,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4.5,4.5,2,5,4
23,Manage vendor,17,1,4,6,1,12,3,4,7,0,0,0,7,4,0,0,0,0,1.4166666666666667,4.285714285714286,6.071428571428571,7,10,13
24,Approve pending product,14,1,4,4,1,10,3,3,6,0,0,0,6,3,0,0,0,0,1.4,4.166666666666667,5.833333333333333,6,10,12
