id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,save website info,control,1,1,Add a new website,Add a new website
2,Invalid website information,boundary,1,2,Add a new website,Add a new website
3,websites,entity,0,3,Add a new website,Add a new website
4,verify input information,control,2,1,Add a new website,Add a new website
5,Website detail input page,boundary,1,1,Add a new website,Add a new website
6,Contractor,actor,3,0,Add a new website,Add a new website
7,confirm dialog,boundary,2,2,Show the website,Show the website
8,display confirm tab,control,2,1,Show the website,Show the website
9,List of websites,boundary,1,3,Show the website,Show the website
10,websites,entity,0,3,Show the website,Show the website
11,query crawling list of websites,control,2,1,Show the website,Show the website
12,websites tab,boundary,1,1,Show the website,Show the website
13,Contractor,actor,3,0,Show the website,Show the website
14,add attributes,control,1,1,Edit website details,Edit website details
15,Attribute list of website,boundary,1,2,Edit website details,Edit website details
16,query attributes of webbiste,control,2,1,Edit website details,Edit website details
17,List of websites,boundary,1,2,Edit website details,Edit website details
18,websites,entity,0,3,Edit website details,Edit website details
19,query crawling list of websites,control,2,1,Edit website details,Edit website details
20,show crawling list,boundary,1,1,Edit website details,Edit website details
21,Contractor,actor,3,0,Edit website details,Edit website details
22,add player,control,1,1,Add a new player,Add a new player
23,player detail page,boundary,1,2,Add a new player,Add a new player
24,query attribute list of a player,control,2,1,Add a new player,Add a new player
25,all players list,boundary,1,2,Add a new player,Add a new player
26,player,entity,0,3,Add a new player,Add a new player
27,query crawling list of players,control,2,1,Add a new player,Add a new player
28,players tab,boundary,1,1,Add a new player,Add a new player
29,contractor,actor,3,0,Add a new player,Add a new player
30,player detail page,boundary,1,2,Show the player,Show the player
31,query player info,control,2,1,Show the player,Show the player
32,all players list,boundary,1,2,Show the player,Show the player
33,player,entity,0,3,Show the player,Show the player
34,query crawling list of players,control,2,1,Show the player,Show the player
35,players tab,boundary,1,1,Show the player,Show the player
36,contractor,actor,3,0,Show the player,Show the player
37,update player attributes,control,1,1,Edit the crawling attributes of a player,Edit the crawling attributes of a player
38,player detail page,boundary,1,2,Edit the crawling attributes of a player,Edit the crawling attributes of a player
39,query attribute list of a player,control,2,1,Edit the crawling attributes of a player,Edit the crawling attributes of a player
40,all players list,boundary,1,2,Edit the crawling attributes of a player,Edit the crawling attributes of a player
41,player,entity,0,3,Edit the crawling attributes of a player,Edit the crawling attributes of a player
42,query crawling list of players,control,2,1,Edit the crawling attributes of a player,Edit the crawling attributes of a player
43,players tab,boundary,1,1,Edit the crawling attributes of a player,Edit the crawling attributes of a player
44,contractor,actor,3,0,Edit the crawling attributes of a player,Edit the crawling attributes of a player
45,delete website,control,1,1,Delete a website,Delete a website
46,confirm dialog,boundary,2,2,Delete a website,Delete a website
47,display confirm tab,control,2,1,Delete a website,Delete a website
48,List of websites,boundary,1,3,Delete a website,Delete a website
49,websites,entity,0,3,Delete a website,Delete a website
50,query crawling list of websites,control,2,1,Delete a website,Delete a website
51,websites tab,boundary,1,1,Delete a website,Delete a website
52,Contractor,actor,3,0,Delete a website,Delete a website
53,schedule,entity,0,1,Schedule player crawl,Schedule player crawl
54,schedule success message,boundary,1,2,Schedule player crawl,Schedule player crawl
55,add player to scheduling list,control,2,1,Schedule player crawl,Schedule player crawl
56,all players list,boundary,1,2,Schedule player crawl,Schedule player crawl
57,player,entity,0,2,Schedule player crawl,Schedule player crawl
58,query crawling list of players,control,2,1,Schedule player crawl,Schedule player crawl
59,players tab,boundary,1,1,Schedule player crawl,Schedule player crawl
60,contractor,actor,3,0,Schedule player crawl,Schedule player crawl
