NUM,PROJ,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
1,F13a_Yanomamo Interactive CDROM,31,9,0,79,0,0,0,0,0,0,0,11,10,7,11,288,0.224137931,0.44,10,22,10,60,22,13,60,0,0,0,0,7,4,0.636363636,0.909090909,0,0,0,0,0.909090909,0,0,NaN,1,0,0,0,0,0,0,2,0,0,14,0,18,0,14,13,18,undefined,undefined,,NaN,NaN,4.965,384.56,0,0,9,0,135,36,36,0,1,1,135,36,36,310,290,214,NaN
2,F13a_OnlineWedding_Management_System,88,15,0,179,0,0,0,0,0,0,0,12,37,7,12,29,0.096774194,0.1,2,3,2,4,3,3,4,0,0,0,0,7,6,0.583333333,3.083333333,0,0,0,0,3.083333333,0,0,NaN,1,0,0,0,0,0,0,2,3,0,17,3,36,0,20,52,36,undefined,undefined,,NaN,NaN,NA,8224.72,0,0,15,0,225,72,72,0,1,1,225,72,72,880,1166,916,NaN
3,S14b_JEP_Online_Platform,261,20,0,383,0,0,0,0,0,0,0,9,13,12,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,12,1,1.333333333,1.444444444,1.111111111,0,0,0,1.444444444,0,0,NaN,1,0,0,0,0,0,0,11,30,0,12,30,45,0,42,216,45,undefined,undefined,,NaN,NaN,3.6,1295.04,0,0,20,0,300,90,90,0,1,1,300,90,90,2610,3145,2444,NaN
4,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,156,14,0,239,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,17,4,0,14,4,38,0,18,118,38,undefined,undefined,,NaN,NaN,2.042,432,0,0,14,0,210,76,76,0,1,1,210,76,76,1560,2340,1872,NaN
5,S13b_SomaticsWeb_DataServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,2.31,541,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
6,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,288,0.224137931,0.44,10,22,10,60,22,13,60,29,0,0,0,30,1,1.764705882,1.352941176,1.705882353,0,0,0,1.352941176,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,NA,1328,0,0,7,0,105,24,24,0,1,1,105,24,24,590,822,654,NaN
7,F13a_Mission_Science_Information_and Data_Management_System,39,10,0,84,0,0,0,0,0,0,0,9,25,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.777777778,0,0,0,0,2.777777778,0,0,NaN,1,0,0,0,0,0,0,5,2,0,12,2,16,0,14,23,16,undefined,undefined,,NA,NA,NA,NA,0,0,10,0,150,32,32,0,1,1,150,32,32,390,585,468,0
8,S13b_United_Direct_Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
9,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,15,0.117647059,0.133333333,2,2,2,2,2,2,2,29,0,0,0,30,1,1.764705882,1.352941176,1.705882353,0,0,0,1.352941176,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,NA,1328,0,0,7,0,105,24,24,0,1,1,105,24,24,590,822,654,NaN
10,F13a_Surgery_Assist,144,21,0,285,0,0,0,0,0,0,0,22,71,72,22,20,0.090909091,0.05,2,1,2,2,1,2,2,6,0,0,0,72,2,3.272727273,3.227272727,0.272727273,0,0,0,3.227272727,0,0,NaN,1,0,0,0,0,0,0,5,4,0,37,4,43,0,41,101,43,undefined,undefined,,NaN,NaN,4.095,1092.88,0,0,21,0,315,86,86,0,1,1,315,86,86,1440,1609,1232,NaN
