NUM,PROJ,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
1,F13a_Yanomamo Interactive CDROM,31,9,0,79,0,0,0,0,0,0,0,11,10,7,11,288,0.22413793103448276,0.44,10,22,10,60,22,13,60,0,0,0,0,7,4,0.6363636363636364,0.9090909090909091,0,0,0,0,0.9090909090909091,0,0,NaN,1,0,0,0,0,0,0,2,0,0,14,0,18,0,14,13,18,undefined,undefined,,NaN,NaN,,384.56,0,0,9,0,135,36,36,0,1,1,135.00,36.00,36.00,310.00,290.00,214.00,NaN
2,F13a_OnlineWedding_Management_System,88,15,0,179,0,0,0,0,0,0,0,12,37,7,12,29,0.0967741935483871,0.1,2,3,2,4,3,3,4,0,0,0,0,7,6,0.5833333333333334,3.0833333333333335,0,0,0,0,3.0833333333333335,0,0,NaN,1,0,0,0,0,0,0,2,3,0,17,3,36,0,20,52,36,undefined,undefined,,NaN,NaN,,8224.72,0,0,15,0,225,72,72,0,1,1,225.00,72.00,72.00,880.00,1166.00,916.00,NaN
3,F13a_LA_Commons_upgradeof_website,81,11,0,172,0,0,0,0,0,0,0,4,0,0,4,19,0.09523809523809523,0.10526315789473684,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,8,0,0,18,0,25,0,18,56,25,undefined,undefined,,NaN,NaN,,1193,0,0,11,0,165,50,50,0,1,1,165.00,50.00,50.00,810.00,1215.00,972.00,NaN
4,S13b_PTS_RID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,,NA,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,NaN
5,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,15,0.11764705882352941,0.13333333333333333,2,2,2,2,2,2,2,29,0,0,0,30,1,1.7647058823529411,1.3529411764705883,1.7058823529411764,0,0,0,1.3529411764705883,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,,1328,0,0,7,0,105,24,24,0,1,1,105.00,24.00,24.00,590.00,822.00,654.00,NaN
6,F13a_Surgery_Assist,144,21,0,285,0,0,0,0,0,0,0,22,71,72,22,20,0.09090909090909091,0.05,2,1,2,2,1,2,2,6,0,0,0,72,2,3.272727272727273,3.227272727272727,0.2727272727272727,0,0,0,3.227272727272727,0,0,NaN,1,0,0,0,0,0,0,5,4,0,37,4,43,0,41,101,43,undefined,undefined,,NaN,NaN,,1092.88,0,0,21,0,315,86,86,0,1,1,315.00,86.00,86.00,1440.00,1609.00,1232.00,NaN
7,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,120,6,0,157,0,0,0,0,0,0,0,30,67,17,30,28,0.06666666666666667,0.03571428571428571,2,1,2,2,1,2,2,12,0,0,0,17,19,0.5666666666666667,2.2333333333333334,0.4,0,0,0,2.2333333333333334,0,0,NaN,1,0,0,0,0,0,0,8,2,0,16,2,29,0,18,91,29,undefined,undefined,,NaN,NaN,,1810.32,0,0,6,0,90,58,58,0,1,1,90.00,58.00,58.00,1200.00,1494.00,1182.00,NaN
8,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,156,14,0,239,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,17,4,0,14,4,38,0,18,118,38,undefined,undefined,,NaN,NaN,,432,0,0,14,0,210,76,76,0,1,1,210.00,76.00,76.00,1560.00,2340.00,1872.00,NaN
9,S13b_SomaticsWeb_DataServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,,541,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,NaN
10,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,288,0.22413793103448276,0.44,10,22,10,60,22,13,60,29,0,0,0,30,1,1.7647058823529411,1.3529411764705883,1.7058823529411764,0,0,0,1.3529411764705883,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,,1328,0,0,7,0,105,24,24,0,1,1,105.00,24.00,24.00,590.00,822.00,654.00,NaN
