id,element,useCase,type,component
1,Contractor:Website detail input page,Add a new website,control,websites
2,Contractor:Invalid website information,Add a new website,control,websites
3,Contractor:Attribute list of website,Add a new website,control,websites
4,Attribute list of website:add attributes,Add a new website,control,websites
5,query attributes of webbiste:Attribute list of website,Add a new website,control,websites
6,Invalid website information:query attributes of webbiste,Add a new website,control,websites
7,verify input information:Invalid website information,Add a new website,control,websites
8,Website detail input page:verify input information,Add a new website,control,verifyinputinformation
9,add attributes:websites,Add a new website,control,websites
10,query attributes of webbiste:websites,Add a new website,control,websites
11,save website info:websites,Add a new website,control,websites
12,verify input information:save website info,Add a new website,control,websites
13,stl#Contractor:Website detail input page,Add a new website,Stimulus,undefined
14,stl#Contractor:Invalid website information,Add a new website,Stimulus,undefined
15,stl#Contractor:Attribute list of website,Add a new website,Stimulus,undefined
