Usecase, avg_degree, avg_path_length, architectural_diff, num_path, num_interface_operation, number_data_operation, number_control, number_partial_matched
Admin deletes photo,1.25,5,6.25,6,0,3,0,3
Admin searches for photo by event,1.4615384615384615,4.666666666666667,6.82051282051282,9,1,1,0,7
Admin searches for photo by user,1.4615384615384615,4.666666666666667,6.82051282051282,9,1,1,0,7
Automatic deletion,1.5,3,4.5,3,0,0,3,0
Create Account,1.25,5.454545454545454,6.8181818181818175,11,3,1,0,7
Create Profile,1.2222222222222223,5.375,6.569444444444445,8,1,1,0,6
Create a Private Event,1.5,5,7.5,4,0,4,0,0
Create a Public Event,1.5,5,7.5,4,0,4,0,0
Delete Photos in Event if Owner,1.3636363636363635,5.571428571428571,7.5974025974025965,14,5,2,0,7
Delete uploaded photos,1.7333333333333334,8.761904761904763,15.187301587301588,21,14,5,0,2
Downoad Photos to Device,1.3333333333333333,4.666666666666667,6.222222222222222,3,2,1,0,0
Log In to Account,1.4285714285714286,5,7.142857142857143,5,2,3,0,0
Log Out of Account,1.75,4.333333333333333,7.583333333333333,3,3,0,0,0
Navigation,0.9333333333333333,6,5.6,10,5,0,0,5
Reserve a Hashtag,1.5714285714285714,5,7.857142857142857,9,5,4,0,0
Search by Location,1.4166666666666667,4.166666666666667,5.902777777777779,6,0,5,0,1
Search by event,1.8,7.444444444444445,13.4,9,3,2,0,4
Search event and upload photo,1.4705882352941178,9.285714285714286,13.65546218487395,14,2,4,0,8
Set a password,1.25,5,6.25,1,1,0,0,0
Take a photo,1.6666666666666667,5.714285714285714,9.523809523809524,7,1,5,0,1
Take photo for location,1.5,6.666666666666667,10,6,0,5,0,1
Upload photo to my event,1.5,6.625,9.9375,8,1,5,0,2
View photos of event/View photos of private event with password,1.4,4,5.6,7,2,3,0,2
View photos on device,1.5454545454545454,5.6,8.654545454545454,5,2,2,0,1
