id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,App user->Signup Screen->check first time user->Video record screen,EQ,CTRL|INT,4,undefined,1,0,1,App user login,App user login
2,App user->Signup Screen->check first time user->Query for first time users->Account collection,EI,CTRL|DM|EI,5,undefined,2,1,1,App user login,App user login
3,App user->Registered user popup->Registered user alert->Query for first time users->Account collection,EI,CTRL|DM|EI,5,undefined,2,1,1,App user login,App user login
