id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Actor,actor,4,0,Use Case Model,View photos on device,
2,Can't access local photos,control,1,1,Use Case Model,View photos on device,
3,my photos screen,boundary,1,2,Use Case Model,View photos on device,
4,process request,control,1,1,Use Case Model,View photos on device,
5,get photos successfully,control,1,1,Use Case Model,View photos on device,
6,choose a photo,control,1,1,Use Case Model,View photos on device,
7,view photo,boundary,1,3,Use Case Model,View photos on device,
8,local photos,entity,2,1,Use Case Model,View photos on device,
9,camera roll,boundary,1,3,Use Case Model,View photos on device,
10,upload,control,1,1,Use Case Model,View photos on device,
11,upload choice,boundary,0,3,Use Case Model,View photos on device,
