id,operation,element
1,school_add,Association Management
2,school_modify,Association Management
3,school_delete,Association Management
4,path_add,Association Management
5,path_modify,Association Management
6,path_delete,Association Management
7,association_add,Association Management
8,association_delete,Association Management
9,get_SPS,Association Management
10,errormessage,Association Management
11,sameschoolandnamemessage,Association Management
12,drapstartingpointandtypepathname,Association Management
13,pathandlocationinformation,Association Management
14,displayafunctionmenu,Association Management
15,checkifassociationbetweenpathandsurveyindb,Association Management
16,noanswerunderpathmessage,Association Management
17,onLoad,HomeScreen
18,onClickNew,HomeScreen
19,onCLickLoad,HomeScreen
20,inserttheschoolandaddress,HomeScreen
21,comment,HomeScreen
22,onClickLogin,LoginPage
23,logoutbutton,LoginPage
24,redirecttoHKZloginpage,LoginPage
25,onClickMap,Map
26,onClickMarker,Map
27,addmarker,Map
28,mapofselectedpaths,Map
29,mapview,Map
30,post_answers,Mobile Service
31,request_surveys,Mobile Service
32,request_questions,Mobile Service
33,post_markers,Mobile Service
34,insertsuccess,Mobile Service
35,MySQLDatabase,MySQLDatabase
36,checksurveyandinserttodatatodatabase,MySQLDatabase
37,loadpathlistfromthedatabase,MySQLDatabase
38,onLoad,Question Category Screen
39,onLoadCategory,Question Category Screen
40,retrieveschoolinformationfromdb,Question Category Screen
41,executefeaturenaanddisplaycategories,Question Category Screen
42,onLoadQuestion,Question Screen
43,fillAnswer,Question Screen
44,onClickNext,Question Screen
45,onClickPrevious,Question Screen
46,showMap,Question Screen
47,displayquestionlist,Question Screen
48,sendrequest,Question Screen
49,unsweredquestionsfoundmessage,Question Screen
50,onLoad,SPSListScreen
51,getSchools,SPSListScreen
52,getPaths,SPSListScreen
53,getSurveys,SPSListScreen
54,loadSurvey,SPSListScreen
55,shcoollist,SPSListScreen
56,pathlist,SPSListScreen
57,displayschoollist,SPSListScreen
58,getSMList,Survey Management
59,getDBList,Survey Management
60,survey_imports,Survey Management
61,survey_delete,Survey Management
62,survey_deploy,Survey Management
63,survey_retract,Survey Management
64,survey_export,Survey Management
65,surveymonkey,Survey Management
66,retriveschoolpathandsurvey,Survey Management
67,successmessage,Survey Management
68,commenttextovermap,Survey Management
69,checkanswersundersurvey,Survey Management
70,nosavedsurveyfoundmessage,Survey Management
71,loadandcontinueasurveyfrorecord,Survey Management
72,updatesurveyindb,Survey Management
73,onLoadPage,SurveyConfigurationPage
74,onClickAddSchool,SurveyConfigurationPage
75,onClickModifySchool,SurveyConfigurationPage
76,onClickDeleteSchool,SurveyConfigurationPage
77,onClickAddPath,SurveyConfigurationPage
78,onClickModifyPath,SurveyConfigurationPage
79,onClickDeletePath,SurveyConfigurationPage
80,onClickAddAssociation,SurveyConfigurationPage
81,onClickDeleteAssociation,SurveyConfigurationPage
82,savepathandlocationinformation,SurveyConfigurationPage
83,confirmationpage,SurveyConfigurationPage
84,redirectsurveydeletionpage,SurveyConfigurationPage
85,confirmmessageaboutirreversibleoperation,SurveyConfigurationPage
86,onLoadPage,SurveyDeploymentPage
87,onClickDeploy,SurveyDeploymentPage
88,onClickRetract,SurveyDeploymentPage
89,retrievesurveydetail,SurveyDeploymentPage
90,deletesuccesmessage,SurveyDeploymentPage
91,deletesurveyfromdb,SurveyDeploymentPage
92,loadsurveybutton,SurveyDeploymentPage
93,onLoadPage,SurveyExportPage
94,onClickExport,SurveyExportPage
95,surveylistpage,SurveyExportPage
96,surveyreport,SurveyExportPage
97,onLoadPage,SurveyImportPage
98,onClickImport,SurveyImportPage
99,onClickDelete,SurveyImportPage
100,surveyimportpage,SurveyImportPage
101,prompterrormessage,SurveyImportPage
102,login,Website Login
103,helpusecasediagramhtm,$help://usecasediagram.htm
104,helpactorhtm,$help://actor.htm
105,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
106,checkrelatedanswersunderpaths,$help://use_case_model_pattern.htm
107,SystemBoundary,System Boundary
108,updatetheanswerinthetemporarystoragefile,System Boundary
109,tempoararyfile,System Boundary
110,answer,answer
111,answerstoredsucceeded,answer
112,insertanswertostorage,answer
113,checkcompleteanswers,answer
114,schoolinformaiton,schoolinformaiton
115,pathandlocationinformation,schoolinformaiton
116,schoollistpage,schoolinformaiton
117,deletetheschoolandaddress,schoolinformaiton
118,quitwithoutsavingbutton,schoolinformaiton
119,submitbutton,schoolinformaiton
120,outofavailablestorageerror,outofavailablestorageerror
121,errormessageforover500characters,outofavailablestorageerror
