id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Coupon Invalid,boundary,1,1,Test Coupon,Test Coupon,
2,Coupon Redeemed,boundary,1,1,Test Coupon,Test Coupon,
3,Coupon Validator,control,1,2,Test Coupon,Test Coupon,
4,FT,actor,3,0,Test Coupon,Test Coupon,
5,Coupon Database,entity,0,2,Test Coupon,Test Coupon,
6,Redeem Coupon,control,1,1,Test Coupon,Test Coupon,
7,Coupon Page,boundary,2,1,Test Coupon,Test Coupon,
8,Open Coupon Page,control,0,1,Test Coupon,Test Coupon,
9,Save coupon for later,control,1,1,Test Coupon,Test Coupon,
10,Partner's Mobile,entity,1,2,Test Coupon,Test Coupon,
11,Generate Test Coupon,control,1,1,Test Coupon,Test Coupon,
12,Test Coupon,entity,1,0,Test Coupon,Test Coupon,
