id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,session,entity,0,1,Login/Logout,Login/Logout
2,Remove session,control,1,1,Login/Logout,Login/Logout
3,Logout Button,boundary,1,1,Login/Logout,Login/Logout
4,Log failture message,boundary,0,2,Login/Logout,Login/Logout
5,Login success message,boundary,0,2,Login/Logout,Login/Logout
6,Login Info,entity,0,1,Login/Logout,Login/Logout
7,check login information,control,3,1,Login/Logout,Login/Logout
8,Login Page,boundary,1,1,Login/Logout,Login/Logout
9,User,actor,4,0,Login/Logout,Login/Logout
10,reset password,control,2,1,Forgets password,Forgets password
11,Email Protocol,actor,0,1,Forgets password,Forgets password
12,send reset link by email,control,1,1,Forgets password,Forgets password
13,password reset success message,boundary,0,2,Forgets password,Forgets password
14,forgot password page,boundary,2,2,Forgets password,Forgets password
15,Login Info,entity,0,1,Forgets password,Forgets password
16,display forgot password page,control,1,1,Forgets password,Forgets password
17,forget password button,boundary,1,1,Forgets password,Forgets password
18,User,actor,4,0,Forgets password,Forgets password
19,save user information,control,2,1,Add users,Add users
20,save user information success message,boundary,0,2,Add users,Add users
21,User add page,boundary,2,2,Add users,Add users
22,User info,entity,0,1,Add users,Add users
23,display user add page,control,1,1,Add users,Add users
24,User add button,boundary,1,1,Add users,Add users
25,User,actor,3,0,Add users,Add users
26,Delete user info,control,2,1,Delete users,Delete users
27,Delete user info success,boundary,0,2,Delete users,Delete users
28,User info page,boundary,1,2,Delete users,Delete users
29,User info,entity,0,2,Delete users,Delete users
30,query user info,control,2,1,Delete users,Delete users
31,User List,boundary,1,1,Delete users,Delete users
32,User,actor,3,0,Delete users,Delete users
33,Invalid input user information,boundary,0,2,Modify user information,Modify user information
34,Save modified user info,control,3,1,Modify user information,Modify user information
35,Save user info success message,boundary,0,2,Modify user information,Modify user information
36,User info page,boundary,1,2,Modify user information,Modify user information
37,User info,entity,0,2,Modify user information,Modify user information
38,query user info,control,2,1,Modify user information,Modify user information
39,Modify User Info,boundary,1,1,Modify user information,Modify user information
40,User,actor,4,0,Modify user information,Modify user information
41,Required information missing error message,boundary,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
42,Invalid modified information,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
43,Delete girls/volunteers/teams,control,4,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
44,Save modified information,control,4,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
45,Volunteers,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls
46,Teams,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls
47,query volunteers info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
48,query teams info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
49,Delete information successfully,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
50,process input information for girs/teams/volunteers,control,3,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
51,Save modified information success message,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
52,Girls/Teams/Volunteers manage page,boundary,2,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
53,Girl,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls
54,query girl info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
55,manage girls/teams/volunteers page,boundary,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls
56,User,actor,5,0,Manage teams/volunteers/girls,Manage teams/volunteers/girls
57,Save teams data,control,2,1,Import data from csv,Import data from csv
58,Save Volunteers data,control,2,1,Import data from csv,Import data from csv
59,Save girls data,control,2,1,Import data from csv,Import data from csv
60,Invalid input user information,boundary,0,4,Import data from csv,Import data from csv
61,Process data,control,4,1,Import data from csv,Import data from csv
62,Data format error message,boundary,0,2,Import data from csv,Import data from csv
63,Data import page,boundary,1,2,Import data from csv,Import data from csv
64,User info,entity,0,3,Import data from csv,Import data from csv
65,Display data import page,control,1,1,Import data from csv,Import data from csv
66,Date import button,boundary,1,1,Import data from csv,Import data from csv
67,User,actor,4,0,Import data from csv,Import data from csv
68,Select file location to save,control,2,1,Export attendance,Export attendance
69,csv files,entity,0,1,Export attendance,Export attendance
70,export data to csv file,control,1,1,Export attendance,Export attendance
71,Staff,actor,3,0,Export attendance,Export attendance
72,Data export success message,boundary,0,3,Export attendance,Export attendance
73,display type of attendance for export,control,2,1,Export attendance,Export attendance
