id,element,useCase,type,component
1,User:Clicks Submit	,Register,boundary,ClickonAdd
2,User:Click on register button,Register,boundary,ClickonAdd
3,User:Homepage,Register,boundary,Homepage
4,User:Fills out the registration form ,Register,boundary,Administrator Profile
5,Click on register button:Register   information,Register,entity,Testimonial
6,Clicks Submit	:Validates the form,Register,boundary,Job Candidate Profile
7,Fills out the registration form :Validates the form,Register,boundary,Job Candidate Profile
8,Sends and email notification of the new user account created:Homepage,Register,boundary,Homepage
9,Logs in the user:Sends and email notification of the new user account created,Register,boundary,Job Candidate Profile
10,Validates the form:Logs in the user,Register,entity,User
11,Register   information:Validates the form,Register,boundary,Job Candidate Profile
12,Validates the form:Register db,Register,entity,Testimonial
13,stl#User:Clicks Submit	,Register,Stimulus,undefined
14,stl#User:Click on register button,Register,Stimulus,undefined
15,stl#User:Homepage,Register,Stimulus,undefined
16,stl#User:Fills out the registration form ,Register,Stimulus,undefined
