id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:Select images screen,Print photo books,0,undefined,undefined
2,Traveler:Walgreens checkout,Print photo books,0,undefined,undefined
3,Traveler:Place screen,Print photo books,0,undefined,undefined
4,Display:Select images screen,Print photo books,0,undefined,undefined
5,trip plan controller:Display,Print photo books,0,undefined,undefined
6,Pinch on map:Map,Print photo books,0,undefined,undefined
7,pan on map:Map,Print photo books,0,undefined,undefined
8,Select images screen:Pinch on map,Print photo books,0,undefined,undefined
9,walgreens:Place,Print photo books,0,undefined,undefined
10,Place screen:trip plan controller,Print photo books,0,undefined,undefined
11,Place screen:display,Print photo books,0,undefined,undefined
12,display:Place screen,Print photo books,0,undefined,undefined
13,Select images screen:Place screen,Print photo books,0,undefined,undefined
14,Select images screen:pan on map,Print photo books,0,undefined,undefined
15,Select images screen:get directions from current location,Print photo books,0,undefined,undefined
16,Select images screen:walgreens,Print photo books,0,undefined,undefined
17,display:Select images screen,Print photo books,0,undefined,undefined
18,display:Select images screen,Print photo books,0,undefined,undefined
19,Walgreens checkout:Select images screen,Print photo books,0,undefined,undefined
20,display:Trip Plan,Print photo books,0,undefined,undefined
21,display:Walgreens checkout,Print photo books,0,undefined,undefined
22,walgreens:display,Print photo books,0,undefined,undefined
23,trip plan controller:display,Print photo books,0,undefined,undefined
24,trip plan controller:walgreens,Print photo books,0,undefined,undefined
25,stl#Traveler:Select images screen,Print photo books,0,undefined,undefined
26,stl#Traveler:Walgreens checkout,Print photo books,0,undefined,undefined
27,stl#Traveler:Place screen,Print photo books,0,undefined,undefined
