id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,invalid information error,boundary,0,2,Edit product,Edit product,
2,display invalid information,control,1,1,Edit product,Edit product,
3,redirect vendor when back button clicked,control,1,1,Edit product,Edit product,
4,change unsaved dialog,boundary,0,2,Edit product,Edit product,
5,product,entity,0,1,Edit product,Edit product,
6,update product information,control,3,1,Edit product,Edit product,
7,product edit page,boundary,1,2,Edit product,Edit product,
8,redirect to product edit page,control,1,1,Edit product,Edit product,
9,edit button for specific product,boundary,1,1,Edit product,Edit product,
10,Vendor,actor,4,0,Edit product,Edit product,
