id,element,useCase,type,component
1,User:select the appropriate postings ,Apply,boundary,selecttheappropriatepostings
2,User:click submit button,Apply,boundary,clicksubmitbutton
3,User:Homepage,Apply,boundary,Homepage
4,User:upload relevant documents,Apply,boundary,uploadrelevantdocuments
5,User:fills out relevant data ,Apply,boundary,uploadrelevantdocuments
6,Show confirmation page:Approve Hire db,Apply,boundary,selecttheappropriatepostings
7,Show confirmation page:Homepage,Apply,boundary,Homepage
8,retrieves the posting selected:Show confirmation page,Apply,boundary,Homepage
9,add candidate to applicant list :generate a message to inform User ,Apply,control,generateamessagetoinformUser
10,click submit button:add candidate to applicant list ,Apply,boundary,selecttheappropriatepostings
11,responds with a message confirming :add candidate to applicant list ,Apply,boundary,selecttheappropriatepostings
12,fills out relevant data :responds with a message confirming ,Apply,control,generateamessagetoinformUser
13,retrieves the posting selected:responds with a message confirming ,Apply,control,generateamessagetoinformUser
14,upload relevant documents:responds with a message confirming ,Apply,control,generateamessagetoinformUser
15,select the appropriate postings :retrieves the posting selected,Apply,boundary,selecttheappropriatepostings
16,stl#User:select the appropriate postings ,Apply,Stimulus,undefined
17,stl#User:click submit button,Apply,Stimulus,undefined
18,stl#User:Homepage,Apply,Stimulus,undefined
19,stl#User:upload relevant documents,Apply,Stimulus,undefined
20,stl#User:fills out relevant data ,Apply,Stimulus,undefined
