NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Validate Redemption Password,16,1,5,8,2,16,1,0,1,0,0,6,1,0,0,0,0,0,1,4.714285714285714,4.714285714285714,7
2,Notify Partner of Redemption,21,2,5,7,1,15,8,2,10,0,0,0,10,2,0,0,0,0,1.4,7,9.799999999999999,10
3,Bill partner for redemption transaction,22,1,2,10,1,14,1,1,2,0,0,3,2,1,0,0,0,0,1.5714285714285714,6,9.428571428571429,5
4,View redemption statistics for partner storyboard,14,1,1,5,3,10,0,6,6,0,0,0,6,6,0,0,0,0,1.4,4.333333333333333,6.0666666666666655,6
5,View Partner Billing status storyboard,9,1,2,3,1,7,1,1,2,0,0,0,2,1,0,0,0,0,1.2857142857142858,5.5,7.071428571428572,2
6,Suspend Partner Account Storyboard,17,2,3,4,1,10,2,0,2,0,0,2,2,0,0,0,0,0,1.7,4,6.8,4
7,Reactive Partner Account,10,1,3,2,1,7,1,1,1,0,0,1,1,0,0,1,0,0,1.4285714285714286,5.5,7.857142857142858,2
8,Delete Partner Account,14,2,4,6,1,13,4,1,6,1,0,6,6,1,0,0,0,0,1.0769230769230769,4.333333333333333,4.666666666666666,12
9,View Transaction Log,18,1,3,8,1,13,5,4,9,0,0,0,9,4,0,0,0,0,1.3846153846153846,4.888888888888889,6.76923076923077,9
10,Admin Login,17,1,3,10,1,15,5,2,5,0,0,7,5,0,0,2,0,0,1.1333333333333333,5.5,6.233333333333333,12
11,Resolve Dispute,19,1,4,7,3,15,3,4,7,0,0,2,7,4,0,0,0,0,1.2666666666666666,4.333333333333333,5.488888888888888,9
12,Receive Coupon - Android,18,2,4,7,2,15,6,2,8,0,5,2,8,2,0,0,0,0,1.2,3.5,4.2,10
13,Save it for later,11,1,2,4,2,9,2,1,3,0,0,0,3,1,0,0,0,0,1.2222222222222223,4.333333333333333,5.296296296296297,3
14,View stored coupons - Android,12,1,3,4,2,10,1,1,2,0,0,2,2,1,0,0,0,0,1.2,3.5,4.2,4
15,Redeem Coupon - Android,14,1,5,6,1,13,4,0,4,0,0,1,4,0,0,0,0,0,1.0769230769230769,3.8,4.092307692307692,5
16,Connect to trip plan - Android,11,1,3,3,2,9,2,0,2,0,0,1,2,0,0,0,0,0,1.2222222222222223,4.666666666666667,5.703703703703704,3
17,Login to tripplanner - Android,33,1,6,18,3,28,4,1,4,0,0,0,4,0,0,1,0,0,1.1785714285714286,5,5.892857142857143,4
18,Receive Coupon - iOS,17,2,4,7,2,15,6,2,8,0,5,2,8,2,0,0,0,0,1.1333333333333333,3.5,3.966666666666667,10
19,Connect to trip plan - iOS,8,1,3,3,2,9,2,0,2,0,0,3,2,0,0,0,0,0,0.8888888888888888,4.2,3.7333333333333334,5
20,Login to tripplanner - iOS,33,1,6,18,3,28,4,1,4,0,0,0,4,0,0,1,0,0,1.1785714285714286,5,5.892857142857143,4
21,Redeem Coupon - iOS,14,1,5,6,1,13,4,0,4,0,0,1,4,0,0,0,0,0,1.0769230769230769,3.8,4.092307692307692,5
22,Save it for lateer,9,1,2,4,2,9,2,1,3,0,0,0,3,1,0,0,0,0,1,4.333333333333333,4.333333333333333,3
23,View stored coupons - iOS,11,1,3,4,2,10,1,1,2,0,0,2,2,1,0,0,0,0,1.1,3.5,3.8500000000000005,4
24,Modify Offer,7,1,4,2,1,8,1,0,1,0,0,0,1,0,0,0,0,0,0.875,4,3.5,1
25,Partner Login,12,1,2,7,1,11,2,2,2,0,0,10,2,0,0,2,0,0,1.0909090909090908,7,7.636363636363636,12
26,Buy Partner Subscription,13,1,4,5,1,11,3,1,3,0,0,1,3,0,0,1,0,0,1.1818181818181819,4.25,5.022727272727273,4
27,Publish Offer,12,2,2,7,1,12,1,0,1,0,0,6,1,0,0,0,0,0,1,4,4,7
28,Test Coupon,13,1,3,5,3,12,0,3,3,0,0,2,3,3,0,0,0,0,1.0833333333333333,4.2,4.55,5
29,Cancel Partner Subscription,11,1,3,5,1,10,2,1,3,0,0,2,3,1,0,0,0,0,1.1,3.8,4.18,5
30,Upload Image,10,1,5,2,0,8,3,0,3,0,0,0,3,0,0,0,0,0,1.25,4,5,3
31,Design Coupon,13,3,2,6,3,14,1,3,5,1,1,2,5,3,0,0,0,0,0.9285714285714286,3.5714285714285716,3.3163265306122454,7
32,Create Offer,27,1,5,10,1,17,3,2,5,0,0,0,5,2,0,0,0,0,1.588235294117647,4.8,7.623529411764705,5
33,View Bill,18,1,4,9,3,17,1,0,1,0,0,2,1,0,0,0,0,0,1.0588235294117647,5.666666666666667,6,3
34,Create Account,23,1,4,11,2,18,1,0,1,0,0,2,1,0,0,0,0,0,1.2777777777777777,7.333333333333333,9.370370370370368,3
35,Specify default payment method use case,24,1,2,10,5,18,0,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,3,4,1
36,Contact us,22,2,5,8,3,18,4,3,7,0,0,0,7,3,0,0,0,0,1.2222222222222223,5.142857142857143,6.2857142857142865,7
37,Login to TripPlanner,8,1,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,Connect to trip plan - Trip Planner,13,1,3,4,1,9,5,2,5,0,0,0,5,0,0,2,0,0,1.4444444444444444,5.4,7.800000000000001,5
39,Manage Trip Plan,21,1,7,9,1,18,7,1,8,0,0,0,8,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,8
40,Find add and delete places,32,1,4,11,3,19,3,0,3,0,0,6,3,0,0,0,0,0,1.6842105263157894,4.444444444444445,7.485380116959064,9
41,Manage subscription,11,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.375,4.25,5.84375,4
42,View partner offer,16,1,2,9,2,14,1,1,2,0,0,0,2,1,0,0,0,0,1.1428571428571428,5,5.7142857142857135,2
43,Subscribe and unsubscribe from partner offer,9,1,4,1,1,7,4,2,6,0,0,0,6,2,0,0,0,0,1.2857142857142858,4,5.142857142857143,6
44,Schedule visit and view trip calendar,7,1,1,4,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1.1666666666666667,5,5.833333333333334,1
45,View Trip Plan on Map and get Directions,13,1,2,7,3,13,1,2,3,0,0,0,3,2,0,0,0,0,1,5,5,3
46,Annotate trip plan,25,1,5,9,3,18,2,0,2,0,0,0,2,0,0,0,0,0,1.3888888888888888,4,5.555555555555555,2
47,Print photo books,16,1,3,3,1,8,2,1,3,0,0,2,3,1,0,0,0,0,2,3.8,7.6,5
