id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,Traveler->Redemption Password Validation Page->Display Redeem Coupon Page->Redeem Coupon Page,EQ,CTRL|INT,4,2,1,0,1,3,Experiment Use Case,Validate Redemption Password
2,Coupon->Display Redemption Password Validation Page->Is redemption password valid?->Display Pop-up Error Message->Error message popup,FUNC_NA,TRAN_NA,5,1,3,1,0,1,Experiment Use Case,Validate Redemption Password
3,Coupon->Display Redemption Password Validation Page->Is redemption password valid?->Enter Password->Redemption Password Validation Page,FUNC_NA,TRAN_NA,5,1,3,1,0,1,Experiment Use Case,Validate Redemption Password
4,Coupon->Display Redemption Password Validation Page->Is redemption password valid?->get Redeem password->Traveler Account,FUNC_NA,TRAN_NA,5,0,3,2,0,1,Experiment Use Case,Validate Redemption Password
5,Coupon->Display Redemption Password Validation Page->Is redemption password valid?->get Redeem password->Display Coupon Successfully Redeemed Popup Message->Coupon Successfully Redeemed Popup Message,FUNC_NA,TRAN_NA,6,1,4,1,0,1,Experiment Use Case,Validate Redemption Password
6,Coupon->Display Redemption Password Validation Page->Is redemption password valid?->Display Popup Error Message->Error messagge popup,FUNC_NA,TRAN_NA,5,1,3,1,0,1,Experiment Use Case,Validate Redemption Password
7,Coupon->Display Redemption Password Validation Page->Redemption Password Validation Page,FUNC_NA,TRAN_NA,3,1,1,1,0,1,Experiment Use Case,Validate Redemption Password
8,Employee->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,EQ,CTRL|INT,5,2,2,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
9,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,EQ,CTRL|INT,6,2,3,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
10,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,EQ,CTRL|INT,7,2,4,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
11,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,EI,CTRL|DM|EI,8,1,5,1,1,3,Notify Partner of Redemption,Notify Partner of Redemption
12,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,EQ,CTRL|INT,9,2,6,0,1,9,Notify Partner of Redemption,Notify Partner of Redemption
13,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,EQ,CTRL|INT,5,2,2,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
14,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,EQ,CTRL|INT,6,2,3,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
15,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,EQ,CTRL|INT,7,2,4,0,1,3,Notify Partner of Redemption,Notify Partner of Redemption
