id,element,useCase,type,component
1,Student:genealogy statistics,Play/pause/resize video,boundary,Statistics
2,Student:video frame,Play/pause/resize video,boundary,videoframe
3,Student:play pause resice buttons of video player,Play/pause/resize video,boundary,videoframe
4,control video player:Video player,Play/pause/resize video,boundary,videoframe
5,control video player:genealogy statistics,Play/pause/resize video,boundary,Statistics
6,control video player:video frame,Play/pause/resize video,boundary,videoframe
7,play pause resice buttons of video player:control video player,Play/pause/resize video,boundary,videoframe
8,stl#Student:genealogy statistics,Play/pause/resize video,Stimulus,undefined
9,stl#Student:video frame,Play/pause/resize video,Stimulus,undefined
10,stl#Student:play pause resice buttons of video player,Play/pause/resize video,Stimulus,undefined
