NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Admin deletes photo,6,12,0,10,10,0,0,0,0,0,0,0,0,0,6,0,0,22.8,0,0,0,0,0,24,6,6.0888,31.1944,16.0798
2,Admin searches for photo by event,8,25,0,19,15,4,0,0,0,2,0,4,0,2,4,4,8,13.333333333333334,3,6,106.66666666666667,0,0,28,8,8.1184,30.402600000000003,26.3774
3,Admin searches for photo by user,8,25,0,19,9,9,1,0,0,2,0,4,0,2,4,4,8,13.333333333333334,3,6,106.66666666666667,0,0,28,8,8.1184,30.402600000000003,26.377399999999998
4,Automatic deletion,6,15,0,9,9,0,0,0,0,0,0,0,0,0,6,0,0,4.666666666666667,0,0,0,0,0,18,6,6.0888,10.3942,7.285799999999999
5,Create Account,10,17,0,15,9,5,1,0,0,0,0,0,0,0,10,0,0,20.363636363636363,0,0,0,0,0,40,10,10.147999999999998,72.20519999999999,49.44800000000001
6,Create Profile,6,13,0,11,3,8,0,0,0,0,0,2,0,0,4,2,19,18.428571428571427,7,16,350.1428571428571,0,0,24,6,6.0888,38.0028,35.3898
7,Create a Private Event,8,11,0,9,4,5,0,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,32,8,8.1184,41.3112,22.1074
8,Create a Public Event,8,11,0,9,4,5,0,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,32,8,8.1184,41.3112,22.1074
9,Delete Photos in Event if Owner,22,19,0,15,15,0,0,0,0,0,0,0,0,0,22,0,0,19.037037037037038,0,0,0,0,0,84,22,22.3256,133.21519999999998,96.91160000000004
10,Delete uploaded photos,44,36,0,26,21,5,0,0,0,0,0,2,0,0,42,2,201,12.132075471698114,106,179,2438.547169811321,0,0,232,44,44.651200000000024,315.81959999999987,281.7562
11,Downoad Photos to Device,6,10,0,8,7,1,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,24,6,6.0888,22.3816,14.3888
12,Log In to Account,10,12,0,10,5,4,1,0,0,0,0,0,0,0,10,0,0,7.615384615384615,0,0,0,0,0,40,10,10.147999999999998,45.442,32.188
13,Log Out of Account,18,9,0,7,6,1,0,0,0,0,0,0,0,0,18,0,0,24.58823529411765,0,0,0,0,0,72,18,18.266399999999997,131.2268,112.17840000000004
14,Navigation,57,119,0,66,50,16,0,0,0,41,0,52,0,41,5,52,2.576923076923077,7.897058823529412,1.3076923076923077,1.4807692307692308,20.350113122171948,0,0,176,57,57.84360000000004,161.7872999999999,108.10909999999994
15,Reserve a Hashtag,22,15,0,11,11,0,0,0,0,0,0,0,0,0,22,0,0,15.592592592592593,0,0,0,0,0,88,22,22.3256,133.21519999999998,96.91160000000002
16,Search by Location,12,25,0,17,15,2,0,0,0,0,0,0,0,0,12,0,0,13.5,0,0,0,0,0,46,12,12.177599999999996,44.32640000000001,28.153599999999997
17,Search by event,20,24,0,18,4,14,0,0,0,0,0,4,0,0,16,4,44,15.205128205128204,19.5,39,669.025641025641,0,0,96,20,20.296,158.0272,137.51600000000005
18,Search event and upload photo,14,33,0,25,12,13,0,0,0,2,0,2,0,2,12,2,56,10.592592592592593,27,49,593.1851851851852,0,0,62,14,14.207199999999995,96.4194,76.3054
19,Set a password,2,7,0,5,3,2,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,8,2,2.0296,15.0544,6.0276
20,Take a photo,16,21,0,15,13,2,0,0,0,2,0,2,0,2,14,2,52,7.5,26,44,390,0,0,66,16,16.236799999999995,105.048,102.14480000000002
21,Take photo for location,12,24,0,18,18,0,0,0,0,2,0,2,0,2,10,2,41,31.285714285714285,14,35,1282.7142857142858,0,0,46,12,12.177599999999996,84.10139999999998,63.127600000000015
22,Upload photo to my event,14,32,0,24,19,5,0,0,0,0,0,2,0,0,12,2,53,14.875,24,46,788.375,0,0,54,14,14.207199999999995,97.35480000000001,86.86920000000002
23,View photos of event/View photos of private event with password,50,16,0,14,13,1,0,0,0,0,0,0,0,0,50,0,0,32.703125,0,0,0,0,0,196,50,50.74000000000003,344.29959999999966,275.84499999999997
24,View photos on device,8,24,0,17,16,1,0,0,0,2,0,2,0,2,6,2,20.5,10.05,10,16.5,206.025,0,0,32,8,8.1184,41.0888,29.759400000000003
